Dataset,Model,Accuracy,Precision,Recall,F1,ROC-AUC
UCI_Bank,Rule-Based,0.45051420988609975,0.15638727815849587,0.8412098298676749,0.2637427767076604,0.6199787408574442
UCI_Bank,Logistic Regression,0.8991485126617274,0.6346863468634686,0.32514177693761814,0.43,0.9005827325100347
UCI_Bank,Random Forest,0.9029083268826716,0.6437699680511182,0.3809073724007561,0.47862232779097386,0.9193871898278081
UCI_Bank,XGBoost,0.9024659957978547,0.6102756892230576,0.4603024574669187,0.5247844827586207,0.9213654382685872
Kaggle_Lead,Rule-Based,0.591991341991342,0.4832,0.848314606741573,0.6156982670744139,0.6398263174552935
Kaggle_Lead,Logistic Regression,0.9242424242424242,0.9074074074074074,0.8946629213483146,0.900990099009901,0.9714551353062194
Kaggle_Lead,Random Forest,0.908008658008658,0.9093655589123867,0.8455056179775281,0.87627365356623,0.9704005281690141
Kaggle_Lead,XGBoost,0.933982683982684,0.9052197802197802,0.925561797752809,0.9152777777777777,0.9797300304636809
Kaggle_B2B_Clean,Rule-Based,0.43075453677172876,0.8422273781902552,0.4074074074074074,0.5491679273827534,0.48575498575498577
Kaggle_B2B_Clean,Logistic Regression,0.8319006685768864,0.8564307078763709,0.9640852974186308,0.9070749736008448,0.6393061670839448
Kaggle_B2B_Clean,Random Forest,0.8510028653295129,0.8510028653295129,1.0,0.9195046439628483,0.6383744855967077
Kaggle_B2B_Clean,XGBoost,0.8462273161413563,0.8543689320388349,0.9876543209876543,0.9161894846434149,0.6587779504446172
Kaggle_B2B_Noisy,Rule-Based,0.43075453677172876,0.8457583547557841,0.38034682080924853,0.5247208931419458,0.5253382455694594
Kaggle_B2B_Noisy,Logistic Regression,0.8061127029608405,0.8343434343434344,0.9549132947976878,0.8905660377358491,0.6858857905100679
Kaggle_B2B_Noisy,Random Forest,0.8252148997134671,0.8260038240917782,0.9988439306358381,0.9042386185243328,0.6632662135552309
Kaggle_B2B_Noisy,XGBoost,0.8204393505253104,0.8354806739345887,0.9745664739884393,0.8996798292422625,0.6833195706028077
