Dataset,Model,Overall_CR,Model_CR,Relative_Lift_vs_Baseline,Relative_Lift_vs_Rule
UCI_Bank,Rule-Based,0.11698480458295547,0.15638727815849587,0.3368170226552764,0.0
UCI_Bank,Logistic Regression,0.11698480458295547,0.6346863468634686,4.425374253742537,3.0584269662921346
UCI_Bank,Random Forest,0.11698480458295547,0.6437699680511182,4.503022126216507,3.116511110313386
UCI_Bank,XGBoost,0.11698480458295547,0.6102756892230576,4.216709053784016,2.9023358959195744
Kaggle_Lead,Rule-Based,0.3853896103896104,0.4832,0.25379612468407753,0.0
Kaggle_Lead,Logistic Regression,0.3853896103896104,0.9074074074074074,1.3545196417984962,0.8779126808928134
Kaggle_Lead,Random Forest,0.3853896103896104,0.9093655589123867,1.359600607792882,0.8819651467557671
Kaggle_Lead,XGBoost,0.3853896103896104,0.9052197802197802,1.3488432376385198,0.8733853067462338
Kaggle_B2B_Clean,Rule-Based,0.8505922812380589,0.8422273781902552,-0.009834209917386452,0.0
Kaggle_B2B_Clean,Logistic Regression,0.8505922812380589,0.8564307078763709,0.0068639544081143585,0.01686400852538807
Kaggle_B2B_Clean,Random Forest,0.8505922812380589,0.8510028653295129,0.0004827037589106581,0.010419380046887227
Kaggle_B2B_Clean,XGBoost,0.8505922812380589,0.8543689320388349,0.004440024773419102,0.014416004707266847
Kaggle_B2B_Noisy,Rule-Based,0.826518914787925,0.8457583547557841,0.023277676558431395,0.0
Kaggle_B2B_Noisy,Logistic Regression,0.826518914787925,0.8343434343434344,0.009466836651302789,-0.013496668815817736
Kaggle_B2B_Noisy,Random Forest,0.826518914787925,0.8260038240917782,-0.000623204970788871,-0.023357180633125516
Kaggle_B2B_Noisy,XGBoost,0.826518914787925,0.8354806739345887,0.010842775629597201,-0.012152029907127692
