Dataset,Model,Time_per_Qualified_Lead_Proxy,Inference_Time_per_1000_ms
UCI_Bank,Rule-Based,6.39438202247191,0.0
UCI_Bank,Logistic Regression,1.5755813953488373,11.673361725423844
UCI_Bank,Random Forest,1.553349875930521,22.34925689072943
UCI_Bank,XGBoost,1.6386036960985626,8.785077379457219
Kaggle_Lead,Rule-Based,2.0695364238410594,0.0
Kaggle_Lead,Logistic Regression,1.1020408163265305,57.01210075642639
Kaggle_Lead,Random Forest,1.0996677740863787,119.64768042296042
Kaggle_Lead,XGBoost,1.1047040971168438,63.46243284481429
Kaggle_B2B_Clean,Rule-Based,1.1873278236914602,0.0
Kaggle_B2B_Clean,Logistic Regression,1.1676367869615834,64.33316606960643
Kaggle_B2B_Clean,Random Forest,1.1750841750841752,163.66035002350466
Kaggle_B2B_Clean,XGBoost,1.1704545454545454,68.76246863131081
Kaggle_B2B_Noisy,Rule-Based,1.182370820668693,0.0
Kaggle_B2B_Noisy,Logistic Regression,1.198547215496368,67.31533389378413
Kaggle_B2B_Noisy,Random Forest,1.2106481481481481,176.2646544856351
Kaggle_B2B_Noisy,XGBoost,1.1969157769869514,74.42394209226885
