uid,startDate,endDate,namedLocation,testedDate,batchID,cqValue,controlType,testPathogenName,criteriaMet,remarks,dataQF
"367ed6a3-8d76-486e-a9d6-908915ebcf0a","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-10","Plate70_NI_20260410",0.00,"masterMixNegative","Ehrlichia ewingii","Y",,
"f8b3285a-ba63-4b3e-a731-74459af4e2d2","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-15","Plate16_Ixodes_20260415",0.00,"masterMixNegative","Dermacentor variabilis","Y",,
"a02af601-b841-4498-9497-3658b897e110","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-03-19","Plate8_NI_20260319",0.00,"mixedSampleNegative","Ehrlichia chaffeensis","Y",,
"eb41a2b3-702c-4151-9925-55d48ff5b390","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-10","Plate65_NI_20260410",18.07,"positive","Rickettsia rickettsii","Y",,
"4575c691-b7d1-4648-96d1-f28c5c557b25","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-14","Plate7_Ixodes_20260414",0.00,"masterMixNegative","Dermacentor variabilis","Y",,
"c7852bfb-7d0b-4505-9c7e-8846520b35ce","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-02","Plate40_NI_20260402",0.00,"extractionNegative","Anaplasma phagocytophilum","Y",,
"f4b72060-66d1-4cb6-b604-ff81148805c0","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-14","Plate2_Ixodes_20260414",14.79,"positive","Ixodes pacificus","Y",,
"3b260592-7459-4ee9-a3bb-f2e1d4cb3e4b","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-15","Plate13_Ixodes_20260415",0.00,"mixedSampleNegative","Anaplasma phagocytophilum","Y",,
"61cdc105-fbe3-42ce-9c98-c3d2fd9f7e6c","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-15","Plate11_Ixodes_20260415",0.00,"mixedSampleNegative","HardTick DNA Quality","Y",,
"29333736-77a0-4308-935c-527567d2656e","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-17","Plate23_Ixodes_20260417",0.00,"extractionNegative","Dermacentor variabilis","Y",,
"1e7d43a0-a566-4785-b6dc-a1624b173eac","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-10","Plate68_NI_20260410",0.00,"extractionNegative","Rickettsia parkeri","Y",,
"18f9880f-c256-4c7b-a6bb-6563e1ec7652","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-10","Plate66_NI_20260410",0.00,"masterMixNegative","Ehrlichia chaffeensis","Y",,
"a58329b2-bdad-4081-8de8-467c2dde890c","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-08","Plate50_NI_20260408",0.00,"extractionNegative","Francisella tularensis","Y",,
"94af4976-5568-475a-b1b2-57e3a322479e","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-09","Plate57_NI_20260409",0.00,"extractionNegative","Ixodes pacificus","Y",,
"6022a1fb-c757-4040-b1ae-670eea6ec9e7","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-17","Plate17_Ixodes_20260417",17.97,"positive","Ixodes pacificus","Y",,
"7642b75c-c99c-4f0c-9608-24072bf3d227","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-09","Plate64_NI_20260409",18.74,"positive","Rickettsia parkeri","Y",,
"5863be63-4a2e-4f59-8d6b-63a4e9f02e49","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-17","Plate21_Ixodes_20260417",18.94,"positive","Amblyomma americanum","Y",,
"56086e03-6d52-4fb9-bcdb-61aa38784702","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-03-23","Plate11_NI_20260323",0.00,"extractionNegative","Ixodes pacificus","Y",,
"90257de0-78cb-45e3-a805-3a5742e4ca74","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-03-31","Plate24_NI_20260331",0.00,"extractionNegative","Dermacentor variabilis","Y",,
"26982e8c-fda6-49c7-9fc2-b1eba8f437e1","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-09","Plate64_NI_20260409",14.83,"positive","Ixodes pacificus","Y",,
"bab0ea83-a2ca-4801-b030-97a9eb13421b","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-03-19","Plate2_NI_20260319",21.55,"positive","Rickettsia parkeri","Y",,
"52f0637a-cc62-4460-a3eb-9acd800e24d3","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-03-23","Plate16_NI_20260323",0.00,"masterMixNegative","Ehrlichia ewingii","Y",,
"034a6f79-7c85-44fd-b850-afe0c84f3309","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-21","Plate27_Ixodes_20260417",19.22,"positive","Amblyomma americanum","Y",,
"9718d6d9-44a4-438e-82e8-2348731978a4","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-21","Plate26_Ixodes_20260417",0.00,"extractionNegative","Babesia microti","Y",,
"196b47d5-c675-4e3b-a95a-0b000bd1ec29","2026-05-08T14:19Z","2026-05-08T14:19Z","University of Massachusetts Laboratory of Medical Zoology","2026-04-15","Plate13_Ixodes_20260415",0.00,"mixedSampleNegative","Borrelia sp.","Y",,
