Species,IUCN_Status
Allophryne ruthveni,LEAST_CONCERN
Alytes cisternasii,LEAST_CONCERN
Alytes dickhilleni,
Alytes maurus,ENDANGERED
Alytes muletensis,
Alytes obstetricans,LEAST_CONCERN
Discoglossus galganoi,LEAST_CONCERN
Discoglossus jeanneae,
Discoglossus montalentii,NEAR_THREATENED
Discoglossus nigriventer,
Discoglossus pictus,
Discoglossus sardus,LEAST_CONCERN
Discoglossus scovazzi,LEAST_CONCERN
Prostherapis dunni,
Allobates alessandroi,
Allobates algorei,NEAR_THREATENED
Allobates bromelicola,VULNERABLE
Allobates brunneus,ENDANGERED
Allobates caeruleodactylus,
Allobates caribe,
Allobates cepedai,
Allobates chalcopis,
Allobates conspicuus,
Allobates crombiei,
Allobates femoralis,
Allobates fratisenescus,
Allobates fuscellus,
Allobates gasconi,
Allobates goianus,
Allobates granti,
Allobates hodli,
Allobates humilis,
Allobates insperatus,
Allobates juanii,
Allobates kingsburyi,
Allobates mandelorum,
Allobates marchesianus,
Allobates masniger,
Allobates mcdiarmidi,
Allobates melanolaemus,
Allobates myersi,
Allobates nidicola,
Allobates niputidea,
Allobates olfersioides,
Allobates ornatus,
Allobates paleovarzensis,
Allobates picachos,
Allobates pittieri,
Allobates ranoides,
Allobates rufulus,
Allobates sanmartini,
Allobates spumaponens,
Allobates subfolionidificans,
Allobates sumtuosus,
Allobates talamancae,
Allobates trilineatus,
Allobates undulatus,
Allobates vanzolinius,
Allobates wayuu,
Allobates zaparo,
Anomaloglossus atopoglossus,
Anomaloglossus ayarzaguenai,
Anomaloglossus baeobatrachus,
Anomaloglossus beebei,
Anomaloglossus breweri,
Anomaloglossus confusus,
Anomaloglossus degranvillei,
Anomaloglossus guanayensis,
Anomaloglossus kaiei,
Anomaloglossus lacrimosus,
Anomaloglossus megacephalus,
Anomaloglossus moffetti,
Anomaloglossus murisipanensis,
Anomaloglossus parimae,
Anomaloglossus parkerae,
Anomaloglossus praderioi,
Anomaloglossus roraima,
Anomaloglossus shrevei,
Anomaloglossus stepheni,
Anomaloglossus tamacuarensis,
Anomaloglossus tepuyensis,
Anomaloglossus triunfo,
Anomaloglossus verbeeksnyderorum,
Anomaloglossus wothuja,
Rheobates palmatus,
Rheobates pseudopalmatus,
Aromobates alboguttatus,
Aromobates capurinensis,
Aromobates duranti,
Aromobates haydeeae,
Aromobates leopardalis,
Aromobates mayorgai,
Aromobates meridensis,
Aromobates molinarii,
Aromobates nocturnus,
Aromobates orostoma,
Aromobates saltuensis,
Aromobates serranus,
Mannophryne caquetio,
Mannophryne collaris,
Mannophryne cordilleriana,
Mannophryne herminae,
Mannophryne lamarcai,
Mannophryne larandina,
Mannophryne leonardoi,
Mannophryne neblina,
Mannophryne oblitterata,
Mannophryne olmonae,
Mannophryne orellana,
Mannophryne riveroi,
Mannophryne speeri,
Mannophryne trinitatis,
Mannophryne trujillensis,
Mannophryne urticans,
Mannophryne venezuelensis,
Mannophryne vulcano,
Mannophryne yustizi,
Arthroleptis adelphus,
Arthroleptis adolfifriederici,
Arthroleptis affinis,
Arthroleptis aureoli,
Arthroleptis bioko,
Arthroleptis bivittatus,
Arthroleptis brevipes,
Arthroleptis carquejai,
Arthroleptis crusculum,
Arthroleptis fichika,
Arthroleptis francei,
Arthroleptis hematogaster,
Arthroleptis kidogo,
Arthroleptis krokosua,
Arthroleptis lameerei,
Arthroleptis langeri,
Arthroleptis loveridgei,
Arthroleptis mossoensis,
Arthroleptis nguruensis,
Arthroleptis nikeae,
Arthroleptis nimbaensis,
Arthroleptis nlonakoensis,
Arthroleptis palava,
Arthroleptis perreti,
Arthroleptis phrynoides,
Arthroleptis poecilonotus,
Arthroleptis pyrrhoscelis,
Arthroleptis reichei,
Arthroleptis schubotzi,
Arthroleptis spinalis,
Arthroleptis stenodactylus,
Arthroleptis stridens,
Arthroleptis sylvaticus,
Arthroleptis taeniatus,
Arthroleptis tanneri,
Arthroleptis troglodytes,
Arthroleptis tuberosus,
Arthroleptis variabilis,
Arthroleptis vercammeni,
Arthroleptis wahlbergii,
Arthroleptis xenochirus,
Arthroleptis xenodactyloides,
Arthroleptis xenodactylus,
Arthroleptis zimmeri,
Astylosternus batesi,
Astylosternus diadematus,
Astylosternus fallax,
Astylosternus laurenti,
Astylosternus montanus,
Astylosternus nganhanus,
Astylosternus occidentalis,LEAST_CONCERN
Astylosternus perreti,
Astylosternus ranoides,
Astylosternus rheophilus,
Astylosternus schioetzi,
Cardioglossa alsco,
Cardioglossa cyaneospila,
Cardioglossa elegans,
Cardioglossa escalerae,
Cardioglossa gracilis,
Cardioglossa gratiosa,
Cardioglossa leucomystax,
Cardioglossa manengouba,
Cardioglossa melanogaster,
Cardioglossa nigromaculata,
Cardioglossa occidentalis,
Cardioglossa oreas,
Cardioglossa pulchra,
Cardioglossa schioetzi,
Cardioglossa trifasciata,
Cardioglossa venusta,
Leptodactylodon albiventris,
Leptodactylodon axillaris,
Leptodactylodon bicolor,
Leptodactylodon blanci,
Leptodactylodon boulengeri,
Leptodactylodon bueanus,
Leptodactylodon erythrogaster,
Leptodactylodon mertensi,
Leptodactylodon ornatus,
Leptodactylodon ovatus,
Leptodactylodon perreti,
Leptodactylodon polyacanthus,
Leptodactylodon stevarti,
Leptodactylodon ventrimarmoratus,
Leptodactylodon wildi,
Nyctibates corrugatus,
Scotobleps gabonicus,
Trichobatrachus robustus,
Leptopelis anchietae,
Leptopelis argenteus,
Leptopelis aubryi,
Leptopelis aubryioides,
Leptopelis barbouri,
Leptopelis bequaerti,
Leptopelis bocagii,
Leptopelis boulengeri,
Leptopelis brevipes,
Leptopelis brevirostris,
Leptopelis bufonides,
Leptopelis calcaratus,
Leptopelis christyi,
Leptopelis concolor,
Leptopelis crystallinoron,
Leptopelis cynnamomeus,
Leptopelis fenestratus,
Leptopelis fiziensis,
Leptopelis flavomaculatus,
Leptopelis gramineus,
Leptopelis jordani,
Leptopelis karissimbensis,
Leptopelis kivuensis,
Leptopelis lebeaui,
Leptopelis mackayi,
Leptopelis macrotis,
Leptopelis marginatus,
Leptopelis millsoni,
Leptopelis modestus,
Leptopelis mossambicus,
Leptopelis natalensis,
Leptopelis nordequatorialis,
Leptopelis notatus,
Leptopelis occidentalis,
Leptopelis ocellatus,
Leptopelis oryi,
Leptopelis palmatus,
Leptopelis parbocagii,
Leptopelis parkeri,
Leptopelis parvus,
Leptopelis ragazzii,
Leptopelis rufus,
Leptopelis spiritusnoctis,
Leptopelis susanae,
Leptopelis uluguruensis,
Leptopelis vannutellii,
Leptopelis vermiculatus,
Leptopelis viridis,
Leptopelis xenodactylus,
Leptopelis yaldeni,
Leptopelis zebra,
Barbourula busuangensis,
Barbourula kalimantanensis,
Bombina bombina,
Bombina lichuanensis,
Bombina maxima,
Bombina orientalis,
Bombina pachypus,
Bombina variegata,
Brachycephalus alipioi,
Brachycephalus atelopoide,
Brachycephalus brunneus,
Brachycephalus bufonoides,
Brachycephalus didactylus,
Brachycephalus ephippium,
Brachycephalus ferruginus,
Brachycephalus garbeanus,
Brachycephalus hermogenesi,
Brachycephalus Izecksohni,
Brachycephalus nodoterga,
Brachycephalus pernix,
Brachycephalus pitanga,
Brachycephalus pombali,
Brachycephalus pulex,
Brachycephalus toby,
Brachycephalus vertebralis,
Ischnocnema bilineata,
Ischnocnema bolbodactyla,
Ischnocnema concolor,
Ischnocnema epipeda,
Ischnocnema erythromera,LEAST_CONCERN
Ischnocnema gehrti,
Ischnocnema gualteri,
Ischnocnema guentheri,NEAR_THREATENED
Ischnocnema henselii,LEAST_CONCERN
Ischnocnema hoehnei,LEAST_CONCERN
Ischnocnema holti,LEAST_CONCERN
Ischnocnema Izecksohni,
Ischnocnema juipoca,LEAST_CONCERN
Ischnocnema lactea,
Ischnocnema manezinho,
Ischnocnema melanopygia,
Ischnocnema nasuta,
Ischnocnema nigriventris,
Ischnocnema octavioi,
Ischnocnema oea,
