Species,IUCN_Status
Nymphargus vicenteruedai,DATA_DEFICIENT
Nymphargus wileyi,CRITICALLY_ENDANGERED
Rulyrana adiazeta,VULNERABLE
Rulyrana erminea,
Rulyrana flavopunctata,LEAST_CONCERN
Rulyrana mcdiarmidi,NEAR_THREATENED
Rulyrana saxiscandens,ENDANGERED
Rulyrana spiculata,NEAR_THREATENED
Rulyrana susatamai,NEAR_THREATENED
Rulyrana tangarana,
Sachatamia albomaculata,LEAST_CONCERN
Sachatamia ilex,LEAST_CONCERN
Sachatamia punctulata,VULNERABLE
Teratohyla amelie,LEAST_CONCERN
Teratohyla midas,LEAST_CONCERN
Teratohyla pulverata,LEAST_CONCERN
Teratohyla spinosa,LEAST_CONCERN
Vitreorana antisthenesi,VULNERABLE
Vitreorana castroviejoi,ENDANGERED
Vitreorana eurygnatha,LEAST_CONCERN
Vitreorana gorzulae,LEAST_CONCERN
Vitreorana helenae,VULNERABLE
Vitreorana oyampiensis,
Vitreorana parvula,VULNERABLE
Vitreorana uranoscopa,LEAST_CONCERN
Celsiella revocata,VULNERABLE
Celsiella vozmedianoi,ENDANGERED
Hyalinobatrachium aureoguttatum,NEAR_THREATENED
Hyalinobatrachium bergeri,LEAST_CONCERN
Hyalinobatrachium carlesvilai,LEAST_CONCERN
Hyalinobatrachium chirripoi,
Hyalinobatrachium colymbiphyllum,
Hyalinobatrachium crurifasciatum,
Hyalinobatrachium duranti,
Hyalinobatrachium eccentricum,
Hyalinobatrachium esmeralda,
Hyalinobatrachium fleischmanni,
Hyalinobatrachium fragile,
Hyalinobatrachium guairarepanense,
Hyalinobatrachium iaspidiense,
Hyalinobatrachium ibama,
Hyalinobatrachium ignioculus,
Hyalinobatrachium mesai,
Hyalinobatrachium mondolfii,
Hyalinobatrachium munozorum,
Hyalinobatrachium orientale,
Hyalinobatrachium orocostale,
Hyalinobatrachium pallidum,
Hyalinobatrachium pellucidum,
Hyalinobatrachium ruedai,
Hyalinobatrachium talamancae,
Hyalinobatrachium tatayoi,
Hyalinobatrachium taylori,
Hyalinobatrachium valerioi,
Hyalinobatrachium vireovittatum,
Ingerana baluensis,
Batrachylodes elegans,
Batrachylodes gigas,
Batrachylodes mediodiscus,
Batrachylodes minutus,
Batrachylodes montanus,
Batrachylodes trossulus,
Batrachylodes vertebralis,
Batrachylodes wolfi,
Ceratobatrachus guentheri,
Discodeles bufoniformis,
Discodeles guppyi,
Discodeles malukuna,
Discodeles opisthodon,
Discodeles vogti,
Palmatorappia solomonis,
Platymantis acrochordus,
Platymantis aculeodactylus,
Platymantis adiastolus,
Platymantis admiraltiensis,
Platymantis akarithymus,
Platymantis banahao,
Platymantis batantae,
Platymantis bayani,
