-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data
Dates (month/day/year): 01/01/2023 through 01/02/2023 in LST
Location: Latitude  39.9526   Longitude -75.1652
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 46.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999
Parameter(s):
T2M     MERRA-2 Temperature at 2 Meters (C)
-END HEADER-
YEAR,MO,DY,HR,T2M
2023,1,1,0,6.16
2023,1,1,1,5.82
2023,1,1,2,5.25
2023,1,1,3,4.85
2023,1,1,4,5.06
2023,1,1,5,5.44
2023,1,1,6,5.16
2023,1,1,7,4.97
2023,1,1,8,5.42
2023,1,1,9,6.87
2023,1,1,10,8.85
2023,1,1,11,10.47
2023,1,1,12,11.56
2023,1,1,13,12.08
2023,1,1,14,12.02
2023,1,1,15,10.23
2023,1,1,16,6.9
2023,1,1,17,5.95
2023,1,1,18,5.22
2023,1,1,19,4.5
2023,1,1,20,3.32
2023,1,1,21,2.69
2023,1,1,22,2.95
2023,1,1,23,2.65
2023,1,2,0,3.02
2023,1,2,1,3.25
2023,1,2,2,3.26
2023,1,2,3,2.85
2023,1,2,4,2.67
2023,1,2,5,2.4
2023,1,2,6,1.97
2023,1,2,7,3.37
2023,1,2,8,4.61
2023,1,2,9,6.43
2023,1,2,10,8.19
2023,1,2,11,10.35
2023,1,2,12,12.47
2023,1,2,13,13.23
2023,1,2,14,13.06
2023,1,2,15,11.21
2023,1,2,16,9.04
2023,1,2,17,8.04
2023,1,2,18,7.63
2023,1,2,19,7.3
2023,1,2,20,7.04
2023,1,2,21,6.87
2023,1,2,22,6.44
2023,1,2,23,6.2
