bio_1_mean,bio_2_mean,bio_3_mean,bio_4_mean,bio_5_mean,bio_6_mean,bio_7_mean,bio_8_mean,bio_9_mean,bio_10_mean,bio_11_mean,bio_12_mean,bio_13_mean,bio_14_mean,bio_15_mean,bio_16_mean,bio_17_mean,bio_18_mean,bio_19_mean,Species,range_size_deg2
26.14413,9.303176,74.157364,56.330597,33.223114,20.51895,12.704163,25.760065,26.758276,26.87092,25.500517,2458.15,382.0,51.35,56.141735,1027.7,195.85,299.35,817.9,Allophryne ruthveni,124.93386218964
12.755845,9.443701,39.717674,532.76337,26.166916,2.1612973,24.005615,9.578981,18.952795,19.577509,6.6158547,932.65,116.55,36.35,31.66608,319.05,134.8,140.15,293.05,Alytes obstetricans,159.23841113310004
11.809819,6.446044,29.440853,569.55774,24.218924,2.3815093,21.837414,9.588697,19.014538,19.127792,5.4940405,830.0,113.65,15.65,44.928486,316.85,78.15,108.9,267.85,Discoglossus montalentii,0.536113471680002
14.896863,7.834151,33.908054,563.92694,27.973022,4.922438,23.050583,12.0899725,22.04169,22.16753,8.691726,675.2,97.25,9.85,48.61127,261.25,57.2,85.0,223.8,Discoglossus sardus,13.874291035239994
16.837137,8.876593,39.009212,480.6171,29.181911,6.5912566,22.590652,11.867979,22.772213,23.101435,11.268953,704.4,122.6,1.15,76.7841,343.75,11.6,18.65,336.6,Discoglossus scovazzi,11.928898065194007
20.765354,8.695708,84.10996,39.99197,25.71875,15.38025,10.3385,20.893791,20.420792,21.080208,20.177792,2036.0,266.0,78.0,38.167664,748.0,258.0,513.0,275.0,Allobates algorei,0.0
23.093779,9.143621,77.92432,65.13613,28.359198,16.618038,11.741159,23.317186,22.342028,23.730572,22.142801,956.6,127.2,17.1,52.461113,367.1,67.2,260.4,107.7,Allobates bromelicola,0.03848817949900029
24.513859,11.049567,74.52425,60.982708,32.0145,16.91275,15.10175,24.42483,24.20437,25.16287,23.703796,2058.0,324.45,39.9,63.02265,899.7,144.65,410.5,292.9,Allobates brunneus,454.6631432628
25.52772,10.552592,76.61525,90.257195,32.981823,19.037014,13.944815,24.649439,25.56349,26.590185,24.416264,2745.2,502.75,22.9,75.592545,1339.15,124.25,363.25,1212.8,Astylosternus occidentalis,36.910693593112
18.301714,10.436504,59.417614,229.81728,26.537273,8.972546,17.564726,20.97055,15.457492,21.14763,15.457492,1628.2727,277.81818,37.545456,64.065636,747.2727,125.36364,678.63635,125.36364,Ischnocnema erythromera,0.004538062926020239
17.692413,9.2247925,53.517437,288.77393,25.908728,8.663314,17.245413,20.219254,15.185249,21.13573,14.138292,1615.95,210.15,74.0,37.678577,591.8,248.1,573.2,256.75,Ischnocnema henselii,19.487559620588005
17.60016,8.559059,54.27904,248.67348,24.834478,9.062954,15.771523,20.495039,14.520016,20.624193,14.520016,2193.4546,299.0,83.545456,43.48381,848.36365,277.54544,826.0909,277.54544,Ischnocnema hoehnei,0.825015942558905
