loc,v_g,ev_g,iv_g,n,v,l,d,i,e,b,t,locode,locomment,loblank,loccodeandcomment,uniq_op,uniq_opnd,total_op,total_opnd,branchcount,defects,source_project,locodeandcomment,problems,branch_count,call_pairs,loc_code_and_comment,loc_comments,condition_count,cyclomatic_complexity,cyclomatic_density,decision_count,decision_density,design_complexity,design_density,edge_count,essential_complexity,essential_density,loc_executable,parameter_count,halstead_content,halstead_difficulty,halstead_effort,halstead_error_est,halstead_length,halstead_level,halstead_prog_time,halstead_volume,maintenance_severity,modified_condition_count,multiple_condition_count,node_count,normalized_cylomatic_complexity,num_operands,num_operators,num_unique_operands,num_unique_operators,number_of_lines,percent_comments,loc_total,c,loc_blank,complexity_score,decomposition_depth,decomp_index,decomp_depth_qcut
37.0,4.0,1.0,4.0,126.0,599.12,0.06,17.19,34.86,10297.3,0.2,572.07,28.0,1.0,6.0,0.0,11.0,16.0,76.0,50.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0093157467201674,1,363.4006557377049,4
31.0,2.0,1.0,2.0,111.0,582.52,0.08,12.25,47.55,7135.87,0.19,396.44,19.0,0.0,5.0,0.0,14.0,24.0,69.0,42.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0076208116967504,1,222.93975308641973,4
78.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078181801204513,1,0.0,1
8.0,1.0,1.0,1.0,16.0,50.72,0.36,2.8,18.11,142.01,0.02,7.89,5.0,0.0,1.0,0.0,4.0,5.0,9.0,7.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097185003336195,1,1.12398891966759,1
24.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006758157910128,1,0.0,1
73.0,10.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0078287383237262,1,0.0,1
12.0,3.0,1.0,1.0,37.0,167.37,0.15,6.87,24.34,1150.68,0.06,63.93,8.0,0.0,2.0,0.0,11.0,12.0,22.0,15.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0064933376788871,1,13.30092715231788,2
48.0,4.0,1.0,4.0,129.0,695.61,0.06,17.35,40.1,12067.3,0.23,670.41,29.0,1.0,16.0,0.0,19.0,23.0,87.0,42.0,7.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097273099750545,1,547.3652459016394,4
68.0,8.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0039825808612796,1,0.0,1
10.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,6.0,0.0,4.0,4.0,5.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129478773122755,1,0.5389221556886228,1
49.0,6.0,6.0,3.0,171.0,927.89,0.04,25.33,36.63,23506.58,0.31,1305.92,34.0,0.0,13.0,0.0,19.0,24.0,107.0,64.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01674077417929,1,1108.9417073170732,4
27.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0072041200109612,1,0.0,1
38.0,8.0,1.0,3.0,145.0,673.36,0.05,20.53,32.8,13824.9,0.22,768.05,29.0,0.0,7.0,0.0,9.0,16.0,72.0,73.0,15.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011418910757397,1,501.71921568627454,4
29.0,3.0,1.0,3.0,88.0,465.12,0.08,12.04,38.63,5599.99,0.16,311.11,21.0,0.0,6.0,0.0,14.0,25.0,45.0,43.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0075778618178668,1,166.52444444444444,4
48.0,3.0,1.0,3.0,157.0,927.38,0.08,13.09,70.84,12140.27,0.31,674.46,34.0,1.0,9.0,0.0,16.0,44.0,85.0,72.0,5.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0102391511632557,1,549.5585185185184,4
14.0,2.0,1.0,2.0,31.0,129.27,0.19,5.2,24.86,672.19,0.04,37.34,8.0,1.0,3.0,0.0,8.0,10.0,18.0,13.0,3.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0068898317743688,1,9.475287958115183,2
32.0,6.0,4.0,4.0,116.0,595.0,0.06,16.67,35.7,9916.61,0.2,550.92,26.0,0.0,4.0,0.0,14.0,21.0,66.0,50.0,11.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0127185338666584,1,312.1311475409836,4
11.0,1.0,1.0,1.0,9.0,27.0,0.5,2.0,13.5,54.0,0.01,3.0,2.0,0.0,6.0,0.0,4.0,4.0,5.0,4.0,1.0,True,jm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0129478773122755,1,0.592814371257485,1
