dataset,column,dtype,missing_pct
plant1_gen,DATE_TIME,str,0.0
plant1_gen,PLANT_ID,int64,0.0
plant1_gen,SOURCE_KEY,str,0.0
plant1_gen,DC_POWER,float64,0.0
plant1_gen,AC_POWER,float64,0.0
plant1_gen,DAILY_YIELD,float64,0.0
plant1_gen,TOTAL_YIELD,float64,0.0
plant1_weather,DATE_TIME,str,0.0
plant1_weather,PLANT_ID,int64,0.0
plant1_weather,SOURCE_KEY,str,0.0
plant1_weather,AMBIENT_TEMPERATURE,float64,0.0
plant1_weather,MODULE_TEMPERATURE,float64,0.0
plant1_weather,IRRADIATION,float64,0.0
plant2_gen,DATE_TIME,str,0.0
plant2_gen,PLANT_ID,int64,0.0
plant2_gen,SOURCE_KEY,str,0.0
plant2_gen,DC_POWER,float64,0.0
plant2_gen,AC_POWER,float64,0.0
plant2_gen,DAILY_YIELD,float64,0.0
plant2_gen,TOTAL_YIELD,float64,0.0
plant2_weather,DATE_TIME,str,0.0
plant2_weather,PLANT_ID,int64,0.0
plant2_weather,SOURCE_KEY,str,0.0
plant2_weather,AMBIENT_TEMPERATURE,float64,0.0
plant2_weather,MODULE_TEMPERATURE,float64,0.0
plant2_weather,IRRADIATION,float64,0.0
