model,fold,f1,roc_auc,latency_ms,recall_0,recall_1,recall_2,recall_3
DecisionTree,0,0.9979345804100459,0.998864167217322,0.00018598090492733432,0.9986770100426965,0.997948717948718,0.9985569985569985,0.9986859395532195
RandomForest,0,0.99898713433975,0.9999991963573116,0.010446459119773866,0.9991580972998978,0.9994871794871795,1.0,1.0
DecisionTree,1,0.9984889728731211,0.9991283337630592,0.00016582827658469568,0.9987972095261005,0.9982055883106896,0.9985569985569985,1.0
RandomForest,1,0.9989344840781389,0.999998994397721,0.005992252072664557,0.9992181861919653,1.0,0.9992784992784993,1.0
DecisionTree,2,0.9986221989908395,0.9992599958253965,0.0001514043923084299,0.9994587442867453,0.9989746218918226,0.9985569985569985,0.9986859395532195
RandomForest,2,0.9993139842110842,0.9999986903368827,0.0055561964632061854,0.9995188838104402,0.9987182773647783,1.0,0.9986859395532195
DecisionTree,3,0.9979888994827066,0.998833576449036,0.00014331753031675273,0.9989776280971855,0.9987179487179487,0.9992784992784993,0.9960578186596584
RandomForest,3,0.9991529303010008,0.9999994940822621,0.005633709988976,0.9998195814289151,0.9997435897435898,1.0,0.9947437582128777
DecisionTree,4,0.9985120004134959,0.9986811327619061,0.00014428524806163177,0.9996993023815252,0.9976923076923077,0.9949494949494949,1.0
RandomForest,4,0.9996648212343875,0.9999995667979531,0.006923058831313989,0.99987972095261,0.9987179487179487,1.0,1.0
