model,fold,f1,roc_auc,latency_ms,recall_0,recall_1,recall_2,recall_3
XGBoost,0,0.9994615993067798,0.9999999950276246,0.006595800185210257,0.9997594563713994,1.0,1.0,1.0
LightGBM,0,0.9994856437217625,1.0,0.016818463397420304,0.9998195922785496,1.0,1.0,1.0
XGBoost,1,0.9995777729236116,0.9999998548888377,0.005623689054497368,0.9997594419052201,1.0,1.0,1.0
LightGBM,1,0.99965688022533,0.9999995873362709,0.01479754665725627,0.99987972095261,1.0,1.0,1.0
XGBoost,2,0.999749011743628,0.999998438014895,0.004706597592151687,0.99987972095261,1.0,1.0,0.9986859395532195
LightGBM,2,0.999828117236598,0.9999960411041218,0.026028176662548936,1.0,1.0,1.0,0.9986859395532195
XGBoost,3,0.999075403814912,0.9999565721505865,0.004807160573314809,0.999939860476305,0.9997435897435898,1.0,0.9947437582128777
LightGBM,3,0.9989026696453862,0.9999996265378379,0.012676704917319967,0.99987972095261,1.0,1.0,0.9934296977660972
XGBoost,4,1.0,1.0,0.004347385622936183,1.0,1.0,1.0,1.0
LightGBM,4,1.0,1.0,0.012579891113547686,1.0,1.0,1.0,1.0
