k,Theoretical_P_attack,Simulated_P_attack,Simulated_CI_95
1,0.5,0.5019,0.00979992924374457
2,0.25,0.2489,0.008474564718402947
3,0.125,0.1238,0.006455323602237149
4,0.0625,0.0677,0.004924115688486614
5,0.03125,0.0309,0.003391716997392324
6,0.015625,0.0158,0.0024441412188333147
7,0.0078125,0.0069,0.0016224716152833
8,0.00390625,0.0036,0.0011738812914430486
9,0.001953125,0.0025,0.0009787742334164708
10,0.0009765625,0.0011,0.0006497008283818022
11,0.00048828125,0.0003,0.0003394310321700124
12,0.000244140625,0.0003,0.0003394310321700124
13,0.0001220703125,0.0001,0.00019599019975498775
14,6.103515625e-05,0.0,0.0
15,3.0517578125e-05,0.0,0.0
16,1.52587890625e-05,0.0001,0.00019599019975498775
17,7.62939453125e-06,0.0,0.0
18,3.814697265625e-06,0.0,0.0
19,1.9073486328125e-06,0.0,0.0
20,9.5367431640625e-07,0.0,0.0
