k,n_colluders,Simulated_P_attack
1,2,0.7492
1,3,0.8826
1,4,0.9336
1,5,0.9696
1,6,0.986
1,8,0.9956
1,10,0.9992
2,2,0.4364
2,3,0.5808
2,4,0.686
2,5,0.7632
2,6,0.8186
2,8,0.8924
2,10,0.948
3,2,0.2388
3,3,0.3414
3,4,0.4114
3,5,0.4976
3,6,0.5532
3,8,0.658
3,10,0.7318
4,2,0.1268
4,3,0.1696
4,4,0.2178
4,5,0.2706
4,6,0.3198
4,8,0.3878
4,10,0.478
5,2,0.0654
5,3,0.0884
5,4,0.1106
5,5,0.1538
5,6,0.1714
5,8,0.2272
5,10,0.273
6,2,0.0306
6,3,0.0476
6,4,0.0598
6,5,0.0798
6,6,0.0844
6,8,0.12
6,10,0.1468
7,2,0.0152
7,3,0.0188
7,4,0.0294
7,5,0.0396
7,6,0.0438
7,8,0.0608
7,10,0.0764
8,2,0.0088
8,3,0.0106
8,4,0.0138
8,5,0.0194
8,6,0.0248
8,8,0.0282
8,10,0.0408
9,2,0.0028
9,3,0.0064
9,4,0.009
9,5,0.0104
9,6,0.0098
9,8,0.0162
9,10,0.0178
10,2,0.0018
10,3,0.0026
10,4,0.004
10,5,0.0046
10,6,0.0062
10,8,0.0096
10,10,0.0104
11,2,0.0004
11,3,0.0018
11,4,0.002
11,5,0.0024
11,6,0.002
11,8,0.0042
11,10,0.0048
12,2,0.0006
12,3,0.0006
12,4,0.001
12,5,0.0008
12,6,0.0014
12,8,0.0008
12,10,0.0028
13,2,0.0
13,3,0.0002
13,4,0.0006
13,5,0.0008
13,6,0.0006
13,8,0.0006
13,10,0.0008
14,2,0.0
14,3,0.0
14,4,0.0002
14,5,0.0
14,6,0.0002
14,8,0.0008
14,10,0.0002
15,2,0.0002
15,3,0.0
15,4,0.0002
15,5,0.0
15,6,0.0004
15,8,0.0
15,10,0.0
16,2,0.0002
16,3,0.0002
16,4,0.0
16,5,0.0002
16,6,0.0
16,8,0.0
16,10,0.0
