Modality,Noise_Level,LR_Accuracy,RF_Accuracy
knock,0.0,0.995,1.0
knock,0.05,0.9983333333333333,1.0
knock,0.1,0.9966666666666667,1.0
knock,0.15000000000000002,0.9866666666666667,0.9983333333333333
knock,0.2,0.985,1.0
knock,0.25,0.9833333333333333,1.0
knock,0.30000000000000004,0.9766666666666667,0.9983333333333333
touch,0.0,1.0,1.0
touch,0.05,1.0,1.0
touch,0.1,1.0,1.0
touch,0.15000000000000002,0.9983333333333333,0.9983333333333333
touch,0.2,0.995,1.0
touch,0.25,0.9916666666666667,0.995
touch,0.30000000000000004,0.9883333333333333,0.9866666666666667
gesture,0.0,1.0,1.0
gesture,0.05,1.0,1.0
gesture,0.1,1.0,1.0
gesture,0.15000000000000002,1.0,1.0
gesture,0.2,0.9983333333333333,0.9983333333333333
gesture,0.25,0.9983333333333333,0.9983333333333333
gesture,0.30000000000000004,0.9983333333333333,0.9983333333333333
