k,p_theoretical,p_simulated,ci_lo,ci_hi,n_trials
1,5.00000000e-1,5.02700000e-1,4.92900988e-1,5.12496939e-1,10000
2,2.50000000e-1,2.53900000e-1,2.45464895e-1,2.62524116e-1,10000
3,1.25000000e-1,1.23500000e-1,1.17195597e-1,1.30093564e-1,10000
4,6.25000000e-2,6.37000000e-2,5.90788640e-2,6.86562253e-2,10000
5,3.12500000e-2,2.76000000e-2,2.45659561e-2,3.09968589e-2,10000
6,1.56250000e-2,1.47000000e-2,1.25206198e-2,1.72521027e-2,10000
7,7.81250000e-3,9.00000000e-3,7.32829250e-3,1.10488078e-2,10000
8,3.90625000e-3,3.40000000e-3,2.43416700e-3,4.74723419e-3,10000
9,1.95312500e-3,2.00000000e-3,1.29510153e-3,3.08737490e-3,10000
10,9.76562500e-4,9.00000000e-4,4.73571657e-4,1.70974960e-3,10000
11,4.88281250e-4,4.00000000e-4,1.55560321e-4,1.02814495e-3,10000
12,2.44140625e-4,5.00000000e-4,2.13585275e-4,1.17004319e-3,10000
13,1.22070312e-4,3.00000000e-4,1.02030353e-4,8.81751717e-4,10000
14,6.10351562e-5,1.00000000e-4,1.76522195e-5,5.66283456e-4,10000
15,3.05175781e-5,0.00000000e0,0.00000000e0,3.84012478e-4,10000
16,1.52587891e-5,0.00000000e0,0.00000000e0,3.84012478e-4,10000
17,7.62939453e-6,0.00000000e0,0.00000000e0,3.84012478e-4,10000
18,3.81469727e-6,0.00000000e0,0.00000000e0,3.84012478e-4,10000
19,1.90734863e-6,0.00000000e0,0.00000000e0,3.84012478e-4,10000
20,9.53674316e-7,0.00000000e0,0.00000000e0,3.84012478e-4,10000
