k,model,mean_prob,ci_lower,ci_upper,theoretical_bound,within_bound
1,DRPP,0.5054,0.4956003793979083,0.5151954732673317,0.5,True
1,Traditional,0.3355,0.3263102982688868,0.3448160418362983,,
1,Collusion,0.9392,0.934345528196172,0.9437171552433579,,
2,DRPP,0.24,0.23173002576604013,0.24846966072239843,0.25,True
2,Traditional,0.3439,0.3346513783960277,0.3532685102995309,,
2,Collusion,0.6737,0.664445192587614,0.6828214014776098,,
3,DRPP,0.1306,0.12413713641457956,0.13734657200399436,0.125,True
3,Traditional,0.3405,0.33127483531254504,0.34984766466786243,,
3,Collusion,0.2507,0.24230187059384795,0.25928959802756635,,
4,DRPP,0.0629,0.05830725858330834,0.06782844512475517,0.0625,True
4,Traditional,0.3321,0.3229350766157958,0.3413938747742381,,
4,Collusion,0.2234,0.21534321938325598,0.23166921631944443,,
5,DRPP,0.0317,0.0284418619599965,0.035317804126679626,0.03125,True
5,Traditional,0.341,0.3317713524951657,0.350350763472764,,
5,Collusion,0.0662,0.061491498478403545,0.07124167074730668,,
6,DRPP,0.0153,0.013073633776166924,0.01789862791977996,0.015625,True
6,Traditional,0.3305,0.3213469242629612,0.33978325596700165,,
6,Collusion,0.0601,0.05560838748873657,0.06492946668920242,,
8,DRPP,0.0042,0.0031088599034471516,0.005671926869506149,0.00390625,True
8,Traditional,0.3384,0.3291895889158401,0.34773452391697396,,
8,Collusion,0.0156,0.013350498615657508,0.01822153267280271,,
12,DRPP,0.0004,0.00015556032105416026,0.0010281449467301677,0.000244140625,True
12,Traditional,0.3406,0.33137413782911784,0.3499482853487941,,
12,Collusion,0.001,0.0005432800768105724,0.0018399643760004356,,
16,DRPP,0.0,0.0,0.00038401247776654115,1.52587890625e-05,True
16,Traditional,0.3388,0.32958676301735124,0.3481370426054806,,
16,Collusion,0.0001,1.765221952685649e-05,0.0005662834557441313,,
