k,model,success_rate,n_trials
1,DRPP,0.5054,10000
2,DRPP,0.24,10000
3,DRPP,0.1306,10000
4,DRPP,0.0629,10000
5,DRPP,0.0317,10000
6,DRPP,0.0153,10000
8,DRPP,0.0042,10000
12,DRPP,0.0004,10000
16,DRPP,0.0,10000
1,Traditional,0.3355,10000
2,Traditional,0.3439,10000
3,Traditional,0.3405,10000
4,Traditional,0.3321,10000
5,Traditional,0.341,10000
6,Traditional,0.3305,10000
8,Traditional,0.3384,10000
12,Traditional,0.3406,10000
16,Traditional,0.3388,10000
1,Collusion,0.9392,10000
2,Collusion,0.6737,10000
3,Collusion,0.2507,10000
4,Collusion,0.2234,10000
5,Collusion,0.0662,10000
6,Collusion,0.0601,10000
8,Collusion,0.0156,10000
12,Collusion,0.001,10000
16,Collusion,0.0001,10000
