Journal Title,Publisher,ISSN,Journal Quartile,H-Index,SJR,Publication Language,Country of Publisher,Review Process,Processing Time,APC,Open Access,URL,Review Time,LaTeX Template,Active Status
Advances in Electrical and Electronic Engineering,VSB-Technical University of Ostrava,1804-3119,Q4 (2024),25,0.304,ENG,Czech Republic,Peer review,25 weeks (Average),No Publication Charges,Yes,https://journals.indexcopernicus.com/search/journal/issue?issueId=all&journalId=25730,Not specified,Not specified,Active
Iranian Journal of Electrical and Electronic Engineering,Iran University of Science and Technology,2383-3890,Q4 (2024),20,0.195,ENG,Iran,Anonymous peer review,12 weeks (Average),No Publication Charges,Yes,https://www.iust.ac.ir/ijeee/search.php?sid=1&slc_lang=en&srchterm=Economic+Load+Dispatch,Not specified,Not specified,Active
International Journal of Computing and Digital Systems,University of Bahrain,2210-142X,Q3 (2024),24,0.295,ENG,Bahrain,Peer review,16 weeks (Average),Potential APC found (Flagged),Hybrid OA,https://accentsjournals.org/paperinfo.php?journalPaperId=1841,Not specified,Not specified,Active
Journal of Electrical and Electronics Engineering,Editura Universităţii din Oradea,2067-2128,Q4 (2024),12,0.149,ENG,Romania,Double anonymous peer review,16 weeks (Average),No Publication Charges,Yes,https://www.tandfonline.com/toc/tele20/3/2?nav=tocList,Not specified,https://journals.dbuniversity.ac.in/ojs/index.php/AJEEE/article/view/4137/1072,Active
Chinese Journal of Electrical Engineering,Editorial office of Chinese Journal of Electrical Engineering,,Q1 (2024),39,1.209,ENG,United States,Anonymous peer review,12 weeks (Average),No Publication Charges,Yes,https://re.public.polimi.it/rm/popup/rmItem/journal/crisId/journal70976/detail.htm,Not specified,Not specified,Active
AIMS Electronics and Electrical Engineering,AIMS Press,2578-1588,Q3 (2024),15,0.262,ENG,United States,Not specified,0 weeks (Average),No Publication Charges,Open Access (Unspecified),https://www.aimspress.com/fileOther/HTML-OLD/ElectronEng/ElectrEng-01-00001.htm,Not specified,https://scispace.com/formats/aims-press/aims-electronics-and-electrical-engineering/1fb80f6460c14a08a6753b00ba3c9248,Active
Electronic Communications of the EASST,"Technische Universität Berlin, Universitätsbibliothek",1863-2122,Q1 (2024),25,0.160,ENG,Germany,Anonymous peer review,8 weeks (Average),No Publication Charges,Diamond OA,https://eceasst.org/,Not specified,https://eceasst.org/index.php/eceasst/templates,Active
Advances in Distributed Computing and Artificial Intelligence Journal,Ediciones Universidad de Salamanca,2255-2863,Q3 (2024),27,0.269,ENG; SPA,Spain,Anonymous peer review,4 weeks (Average),No Publication Charges,Yes,https://www.academia.edu/91959418/Advances_in_Distributed_Computing_and_Artificial_Intelligence_Journal_Regular_Issue,Not specified,Not specified,Active
Journal of the Brazilian Computer Society,Sociedade Brasileira de Computação,1678-4804,Q4 (2024),27,0.183,ENG,Brazil,Anonymous peer review,13 weeks (Average),No Publication Charges,Yes,https://journals-sol.sbc.org.br/index.php/jbcs/ ,Not specified,https://scispace.com/formats/springer/journal-of-the-brazilian-computer-society/76fa8aadf3764aeaba3ac30647a4698f,Active
Acta IMEKO,IMEKO,2221-870X,Q3 (2024),22,0.315,ENG,Hungary,Anonymous peer review,12 weeks (Average),No Publication Charges,Yes,Not found,Not specified,Not specified,Active
Journal of Computer Science and Technology,"Postgraduate Office, School of Computer Science, Universidad Nacional de La Plata",1666-6038,Q4 (2024),66,0.210,ENG,United States,Peer review,24 weeks (Average),No Publication Charges,Yes,https://jcst.ict.ac.cn/en/article/2008/3,Not specified,Not specified,Active
Internetworking Indonesia Journal,Internetworking Indonesia,1942-9703,Q4 (2024),13,0.169,ENG,United States,Not specified,0 weeks (Average),Verified 0 / No APC,Yes,https://journalseeker.com/journal.php?q=internetworking+indonesia+journal,Not specified,https://www.academia.edu/2604024/Internetworking_Indonesia,Active
