Food,Category,Satiety_Index,GI_value,Water_g,Protein_g,Fiber_g,Carbohydrate_g,Fat_g,Energy_kcal,SI_imputed
"Bread, white, commercially prepared",grains,33.7740231,100.0,35.6,8.43,2.4,50.6,3.33,266,False
"Potatoes, boiled, cooked without skin, flesh, without salt","vege, spices and fruit",60.167481099999996,82.0,77.5,1.87,1.8,20.1,0.1,87,False
"Fish, flatfish, raw",seafood,50.237103000000005,0.0,79.1,18.8,0.0,0.0,1.19,91,False
"Beef, rib eye steak, boneless, cooked",animal,50.237103000000005,0.0,53.9,25.9,0.0,0.0,20.0,291,False
"Cheese, cheddar",dairy,37.7537823,0.0,36.8,22.9,0.0,3.09,33.3,404,False
"Apples, raw, with skin","vege, spices and fruit",69.6635209,36.0,85.6,0.26,2.4,13.8,0.17,52,False
"Oranges, raw","vege, spices and fruit",69.06186939999999,43.0,86.7,0.94,2.4,11.8,0.12,47,False
"Bananas, raw","vege, spices and fruit",58.6193042,51.0,74.9,1.09,2.6,22.8,0.33,89,False
"Grapes, red or green","vege, spices and fruit",67.12429279999999,59.0,80.5,0.72,0.9,18.1,0.16,69,False
Oats,grains,53.046047900000005,55.0,10.8,16.9,10.6,66.3,6.9,389,False
veal spleen cooked,carbohydrate-rich,193.35421100839753,59.27071452084,245.8,83.1,0.0,0.0,10.0,445,True
mustard,snacks,68.75569356609152,69.9116159185331,4.2,0.2,0.0,0.3,0.2,3,True
bean with frankfurters soup,carbohydrate-rich,88.74129050414385,42.44822480205892,207.6,10.0,0.0,22.0,7.0,188,True
chickpea flour,bakery,194.38112745377458,65.43219477110719,9.5,20.6,0.0,53.2,6.2,356,True
popcorn unpopped,dairy,166.7260032980074,49.21406153404002,3.0,3.1,0.0,20.9,1.2,106,True
beef top sirloin steak raw,snacks,148.57445161126736,39.45956205313859,401.8,123.4,0.0,0.0,77.3,1222,True
macadamia nuts raw,bakery,112.08863285771262,82.53079597232627,0.011,0.4,0.0,0.7,4.0,38,True
walleye pike raw,carbohydrate-rich,111.36762402121204,79.84147401540955,126.1,30.4,0.0,0.0,1.9,148,True
english muffin with egg cheese sausage,protein-rich,149.57794650592353,88.8724936442629,80.6,22.1,0.0,28.8,29.9,472,True
cheshire cheese,carbohydrate-rich,165.33750088787292,84.90678433123855,10.7,6.6,0.0,1.4,8.7,110,True
chinese noodles,snacks,174.2693076395897,66.19224145283027,17.4,0.2,0.0,111.9,0.094,456,True
premium crispy chicken classic sandwich mcdonalds,carbohydrate-rich,120.88721432793305,37.93272244128302,119.6,27.8,0.0,58.6,20.0,524,True
