Food,Satiety_Index,GI_value,Water_g,Protein_g,Fiber_g,Carbohydrate_g,Fat_g,Energy_kcal,SI_imputed,Avail_Carb_g,GL,Fiber_to_Carb_Ratio,Energy_Density,Protein_Energy_Fraction,Water_Energy_Ratio,cat_animal,cat_bakery,cat_carbohydrate-rich,cat_dairy,cat_fruit,cat_grains,cat_protein-rich,cat_seafood,cat_snacks,"cat_vege, spices and fruit",cat_vegetable,prep_Boiled,prep_Raw,prep_Ultra-processed,prep_Unknown,Satiety_Tier
"Bread, white, commercially prepared",33.7740231,100.0,35.6,8.43,2.4,50.6,3.33,266,False,48.2,48.2,0.047430829102157526,2.66,0.12676691681666571,0.13383458596302789,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,LOW
"Potatoes, boiled, cooked without skin, flesh, without salt",60.1674811,82.0,77.5,1.87,1.8,20.1,0.1,87,False,18.3,15.006000000000002,0.0895522343506351,0.87,0.08597701050601138,0.8908045874620163,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,LOW
"Fish, flatfish, raw",50.237103000000005,0.0,79.1,18.8,0.0,0.0,1.19,91,False,0.0,0.0,0.0,0.91,0.8263736172925976,0.8692307596787828,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,LOW
"Beef, rib eye steak, boneless, cooked",50.237103000000005,0.0,53.9,25.9,0.0,0.0,20.0,291,False,0.0,0.0,0.0,2.91,0.3560137444810524,0.18522336706108808,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,LOW
"Cheese, cheddar",37.7537823,0.0,36.8,22.9,0.0,3.09,33.3,404,False,3.09,0.0,0.0,4.04,0.22673267270610722,0.091089108685423,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,LOW
"Apples, raw, with skin",69.6635209,36.0,85.6,0.26,2.4,13.8,0.17,52,False,11.4,4.104,0.17391303087586732,0.52,0.019999999615384626,1.646153814497042,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,LOW
"Oranges, raw",69.06186939999999,43.0,86.7,0.94,2.4,11.8,0.12,47,False,9.4,4.042,0.20338981327204972,0.47,0.07999999829787238,1.844680811815302,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,LOW
"Bananas, raw",58.6193042,51.0,74.9,1.09,2.6,22.8,0.33,89,False,20.2,10.302,0.11403508271775953,0.89,0.04898876349450828,0.8415730242519885,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,LOW
"Grapes, red or green",67.12429279999999,59.0,80.5,0.72,0.9,18.1,0.16,69,False,17.200000000000003,10.148000000000001,0.049723754158908604,0.69,0.04173912982986768,1.1666666497584544,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,LOW
Oats,53.046047900000005,55.0,10.8,16.9,10.6,66.3,6.9,389,False,55.699999999999996,30.634999999999994,0.1598793339384716,3.89,0.17377891986175084,0.027763496072587417,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,LOW
veal spleen cooked,193.35421100839756,59.27071452084,245.8,83.1,0.0,0.0,10.0,445,True,0.0,0.0,0.0,4.45,0.7469662904562555,0.5523595493205403,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
mustard,68.75569356609152,69.9116159185331,4.2,0.2,0.0,0.3,0.2,3,True,0.3,0.20973484775559928,0.0,0.03,0.2666665777778074,1.399999533333489,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,LOW
bean with frankfurters soup,88.74129050414385,42.44822480205892,207.6,10.0,0.0,22.0,7.0,188,True,22.0,9.338609456452962,0.0,1.88,0.2127659563150747,1.1042553132752377,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,MEDIUM
chickpea flour,194.38112745377455,65.43219477110719,9.5,20.6,0.0,53.2,6.2,356,True,53.2,34.809927618229025,0.0,3.56,0.23146067350713295,0.026685393183467996,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
popcorn unpopped,166.7260032980074,49.21406153404002,3.0,3.1,0.0,20.9,1.2,106,True,20.9,10.285738860614362,0.0,1.06,0.11698113097187612,0.0283018865254539,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,HIGH
beef top sirloin steak raw,148.57445161126736,39.45956205313859,401.8,123.4,0.0,0.0,77.3,1222,True,0.0,0.0,0.0,12.22,0.40392798657616363,0.3288052370468042,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,MEDIUM
macadamia nuts raw,112.08863285771262,82.53079597232627,0.011,0.4,0.0,0.7,4.0,38,True,0.7,0.5777155718062839,0.0,0.38,0.04210526204986153,0.000289473676592798,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,MEDIUM
walleye pike raw,111.36762402121204,79.84147401540955,126.1,30.4,0.0,0.0,1.9,148,True,0.0,0.0,0.0,1.48,0.8216216160701242,0.8520270212700877,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,MEDIUM
english muffin with egg cheese sausage,149.5779465059235,88.8724936442629,80.6,22.1,0.0,28.8,29.9,472,True,28.8,25.59527816954772,0.0,4.72,0.18728813519642346,0.17076271150262137,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,MEDIUM
cheshire cheese,165.33750088787292,84.90678433123855,10.7,6.6,0.0,1.4,8.7,110,True,1.4,1.1886949806373397,0.0,1.1,0.23999999781818182,0.09727272638842975,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,HIGH
chinese noodles,174.2693076395897,66.19224145283027,17.4,0.2,0.0,111.9,0.094,456,True,111.9,74.06911818571707,0.0,4.56,0.0017543859610649431,0.03815789465316251,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,HIGH
