description,Water_(g),Protein_(g),Fiber_TD_(g),Carbohydrt_(g),Energy_kcal,Fat_(g)
"Bread, white, commercially prepared",35.6,8.43,2.4,50.6,266,3.33
"Potatoes, boiled, cooked without skin, flesh, without salt",77.5,1.87,1.8,20.1,87,0.1
"Fish, flatfish, raw",79.1,18.8,0.0,0.0,91,1.19
"Beef, rib eye steak, boneless, cooked",53.9,25.9,0.0,0.0,291,20.0
"Cheese, cheddar",36.8,22.9,0.0,3.09,404,33.3
"Apples, raw, with skin",85.6,0.26,2.4,13.8,52,0.17
"Oranges, raw",86.7,0.94,2.4,11.8,47,0.12
"Bananas, raw",74.9,1.09,2.6,22.8,89,0.33
"Grapes, red or green",80.5,0.72,0.9,18.1,69,0.16
"Oats",10.8,16.9,10.6,66.3,389,6.9
