Feature,Mean_Abs_SHAP
Fiber_to_Carb_Ratio,0.049686194361086206
Fiber_g,0.03696443795000355
Energy_Density,0.02782693624257197
Water_g,0.026121392249426174
"cat_vege, spices and fruit",0.023953304255187886
Fat_g,0.02198575613130127
Energy_kcal,0.02144050552075378
Protein_g,0.017256332375289975
Avail_Carb_g,0.016227000588433207
Water_Energy_Ratio,0.015575248821096047
GL,0.015270964045838319
Carbohydrate_g,0.010676239957784005
GI_value,0.009055597708949125
prep_Unknown,0.008670979790328956
Protein_Energy_Fraction,0.006945516658756035
prep_Raw,0.006375461041555938
cat_grains,0.005108916153967129
cat_protein-rich,0.004801906907971286
cat_carbohydrate-rich,0.0030329109386825937
cat_bakery,0.0023255721391096393
cat_dairy,0.0020337815677798255
cat_snacks,0.0011746257544722367
prep_Ultra-processed,0.0010444687373314056
cat_seafood,0.000671237260543522
cat_fruit,0.0004963964394694528
cat_animal,0.0
cat_vegetable,0.0
prep_Boiled,0.0
