time,uv_index,shortwave_radiation,direct_radiation,cloud_cover,latitude,longitude
2022-01-01 00:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 01:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 02:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 03:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 04:00:00,,0.0,0.0,99,1.28,103.85
2022-01-01 05:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 06:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 07:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 08:00:00,,35.0,6.0,100,1.28,103.85
2022-01-01 09:00:00,,71.0,2.0,100,1.28,103.85
2022-01-01 10:00:00,,164.0,21.0,100,1.28,103.85
2022-01-01 11:00:00,,236.0,10.0,100,1.28,103.85
2022-01-01 12:00:00,,299.0,50.0,100,1.28,103.85
2022-01-01 13:00:00,,306.0,53.0,100,1.28,103.85
2022-01-01 14:00:00,,203.0,7.0,100,1.28,103.85
2022-01-01 15:00:00,,193.0,0.0,100,1.28,103.85
2022-01-01 16:00:00,,147.0,7.0,100,1.28,103.85
2022-01-01 17:00:00,,83.0,0.0,100,1.28,103.85
2022-01-01 18:00:00,,73.0,0.0,100,1.28,103.85
2022-01-01 19:00:00,,19.0,0.0,100,1.28,103.85
2022-01-01 20:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 21:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 22:00:00,,0.0,0.0,100,1.28,103.85
2022-01-01 23:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 00:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 01:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 02:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 03:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 04:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 05:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 06:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 07:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 08:00:00,,5.0,0.0,100,1.28,103.85
2022-01-02 09:00:00,,42.0,1.0,100,1.28,103.85
2022-01-02 10:00:00,,162.0,15.0,100,1.28,103.85
2022-01-02 11:00:00,,121.0,1.0,100,1.28,103.85
2022-01-02 12:00:00,,138.0,0.0,100,1.28,103.85
2022-01-02 13:00:00,,434.0,107.0,100,1.28,103.85
2022-01-02 14:00:00,,565.0,144.0,100,1.28,103.85
2022-01-02 15:00:00,,584.0,225.0,100,1.28,103.85
2022-01-02 16:00:00,,557.0,293.0,100,1.28,103.85
2022-01-02 17:00:00,,402.0,212.0,100,1.28,103.85
2022-01-02 18:00:00,,186.0,59.0,100,1.28,103.85
2022-01-02 19:00:00,,44.0,11.0,100,1.28,103.85
2022-01-02 20:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 21:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 22:00:00,,0.0,0.0,100,1.28,103.85
2022-01-02 23:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 00:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 01:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 02:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 03:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 04:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 05:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 06:00:00,,0.0,0.0,92,1.28,103.85
2022-01-03 07:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 08:00:00,,29.0,5.0,98,1.28,103.85
2022-01-03 09:00:00,,131.0,20.0,100,1.28,103.85
2022-01-03 10:00:00,,368.0,225.0,89,1.28,103.85
2022-01-03 11:00:00,,468.0,234.0,100,1.28,103.85
2022-01-03 12:00:00,,742.0,487.0,100,1.28,103.85
2022-01-03 13:00:00,,826.0,547.0,100,1.28,103.85
2022-01-03 14:00:00,,859.0,599.0,100,1.28,103.85
2022-01-03 15:00:00,,673.0,337.0,100,1.28,103.85
2022-01-03 16:00:00,,565.0,321.0,100,1.28,103.85
2022-01-03 17:00:00,,341.0,131.0,100,1.28,103.85
2022-01-03 18:00:00,,132.0,13.0,100,1.28,103.85
2022-01-03 19:00:00,,47.0,4.0,100,1.28,103.85
2022-01-03 20:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 21:00:00,,0.0,0.0,100,1.28,103.85
2022-01-03 22:00:00,,0.0,0.0,99,1.28,103.85
2022-01-03 23:00:00,,0.0,0.0,100,1.28,103.85
2022-01-04 00:00:00,,0.0,0.0,100,1.28,103.85
2022-01-04 01:00:00,,0.0,0.0,100,1.28,103.85
2022-01-04 02:00:00,,0.0,0.0,76,1.28,103.85
2022-01-04 03:00:00,,0.0,0.0,100,1.28,103.85
2022-01-04 04:00:00,,0.0,0.0,99,1.28,103.85
2022-01-04 05:00:00,,0.0,0.0,100,1.28,103.85
2022-01-04 06:00:00,,0.0,0.0,82,1.28,103.85
2022-01-04 07:00:00,,0.0,0.0,95,1.28,103.85
2022-01-04 08:00:00,,32.0,9.0,94,1.28,103.85
2022-01-04 09:00:00,,184.0,81.0,100,1.28,103.85
2022-01-04 10:00:00,,312.0,109.0,100,1.28,103.85
2022-01-04 11:00:00,,552.0,301.0,100,1.28,103.85
2022-01-04 12:00:00,,696.0,416.0,100,1.28,103.85
2022-01-04 13:00:00,,617.0,236.0,100,1.28,103.85
2022-01-04 14:00:00,,316.0,24.0,100,1.28,103.85
2022-01-04 15:00:00,,188.0,0.0,100,1.28,103.85
2022-01-04 16:00:00,,385.0,92.0,100,1.28,103.85
2022-01-04 17:00:00,,306.0,62.0,100,1.28,103.85
2022-01-04 18:00:00,,217.0,52.0,100,1.28,103.85
2022-01-04 19:00:00,,79.0,26.0,51,1.28,103.85
2022-01-04 20:00:00,,1.0,0.0,78,1.28,103.85
2022-01-04 21:00:00,,0.0,0.0,94,1.28,103.85
