sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( m/s);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
4.825;-0.134;9.842;4.172;2.241;8.586;-0.851;2.745;-2.607;-1.7417;0.2908;0.9852;7102.0;12.3;28.38;-30.96;322.13;-18.12;-25.65;5.0;34.848;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;13;2020-02-12 14:01:52:813
4.825;-0.134;9.842;4.172;2.241;8.586;-1.581;1.355;0.982;-1.7417;0.2908;0.9852;7102.0;12.3;28.38;-30.96;322.13;-18.12;-25.65;5.0;34.848;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;22;2020-02-12 14:01:52:822
5.323;0.919;5.648;4.148;1.751;8.711;-1.581;1.355;0.982;-1.4907;0.1511;0.4902;7102.0;12.3;28.38;-30.96;322.13;-18.12;-25.65;5.0;34.848;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;32;2020-02-12 14:01:52:832
5.323;0.919;5.648;4.148;1.751;8.711;-1.581;1.355;0.982;-1.4907;0.1511;0.4902;7102.0;12.3;28.38;-30.96;322.13;-18.12;-25.65;5.0;34.848;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;42;2020-02-12 14:01:52:842
5.323;0.919;5.648;4.148;1.751;8.711;-1.581;1.355;0.982;-1.4907;0.1511;0.4902;7102.0;10.26;27.96;-31.62;324.5;-10.29;-25.46;5.0;34.848;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;52;2020-02-12 14:01:52:852
4.576;0.363;4.04;4.148;1.751;8.711;-0.219;0.646;4.66;-1.4907;0.1511;0.4902;7102.0;10.26;27.96;-31.62;324.5;-10.29;-25.46;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;62;2020-02-12 14:01:52:862
4.576;0.363;4.04;4.365;1.262;8.689;-0.219;0.646;4.66;-0.9496;-0.9658;0.5493;7102.0;10.26;27.96;-31.62;324.5;-10.29;-25.46;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;72;2020-02-12 14:01:52:872
4.576;0.363;4.04;4.365;1.262;8.689;-0.219;0.646;4.66;-0.9496;-0.9658;0.5493;7102.0;7.62;27.59;-33.05;324.5;-10.29;-25.46;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;83;2020-02-12 14:01:52:883
5.419;-1.263;7.563;4.365;1.262;8.689;-0.791;2.182;1.456;-0.9496;-0.9658;0.5493;7102.0;7.62;27.59;-33.05;324.5;-10.29;-25.46;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;92;2020-02-12 14:01:52:892
5.419;-1.263;7.563;4.365;1.262;8.689;-0.791;2.182;1.456;-0.9496;-0.9658;0.5493;7102.0;7.62;27.59;-33.05;324.5;-10.29;-25.46;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;102;2020-02-12 14:01:52:902
5.419;-1.263;7.563;4.845;0.889;8.479;-0.791;2.182;1.456;-0.7908;-1.3948;0.37;7102.0;7.62;27.59;-33.05;324.5;-10.29;-25.46;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;112;2020-02-12 14:01:52:912
5.419;-1.263;7.563;4.845;0.889;8.479;-0.791;2.182;1.456;-0.7908;-1.3948;0.37;7102.0;2.82;28.8;-33.96;328.21;-5.2;-29.74;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;123;2020-02-12 14:01:52:923
5.17;-1.282;8.1;4.845;0.889;8.479;-0.327;2.048;-0.019;-0.7908;-1.3948;0.37;7102.0;2.82;28.8;-33.96;328.21;-5.2;-29.74;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;133;2020-02-12 14:01:52:933
5.17;-1.282;8.1;5.184;0.638;8.299;-0.327;2.048;-0.019;-0.9364;-1.2451;0.206;7102.0;2.82;28.8;-33.96;328.21;-5.2;-29.74;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;142;2020-02-12 14:01:52:942
5.17;-1.282;8.1;5.184;0.638;8.299;-0.327;2.048;-0.019;-0.9364;-1.2451;0.206;7102.0;-1.8;30.48;-33.18;328.21;-5.2;-29.74;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;152;2020-02-12 14:01:52:952
5.17;-1.282;8.1;5.184;0.638;8.299;-0.327;2.048;-0.019;-0.9364;-1.2451;0.206;7102.0;-1.8;30.48;-33.18;328.21;-5.2;-29.74;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;162;2020-02-12 14:01:52:962
3.159;-2.259;4.634;5.184;0.638;8.299;1.984;2.533;3.443;-0.9364;-1.2451;0.206;7102.0;-1.8;30.48;-33.18;328.21;-5.2;-29.74;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;172;2020-02-12 14:01:52:972
3.159;-2.259;4.634;5.426;0.013;8.168;1.984;2.533;3.443;-1.8133;-0.3532;0.8912;7102.0;-5.28;30.35;-32.82;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;182;2020-02-12 14:01:52:982
3.159;-2.259;4.634;5.426;0.013;8.168;1.984;2.533;3.443;-1.8133;-0.3532;0.8912;7102.0;-5.28;30.35;-32.82;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;192;2020-02-12 14:01:52:992
5.706;-4.059;7.353;5.426;0.013;8.168;0.291;3.533;1.33;-1.8133;-0.3532;0.8912;7102.0;-5.28;30.35;-32.82;334.86;-0.08;-33.6;5.0;40.115;22.496677;88.37136;30.0;NaN;0.0;28.387096;0.0;7 / 7;203;2020-02-12 14:01:53:003
