order_index,latency_ms
0,4.341
1,3.310
2,4.971
3,3.440
4,3.571
5,4.137
6,3.638
7,3.754
8,4.156
9,3.912
10,3.985
11,4.208
12,3.704
13,3.487
14,4.388
15,4.021
16,3.515
17,3.971
18,4.166
19,3.350
20,4.347
21,3.380
22,3.461
23,3.833
24,3.030
25,3.409
26,3.510
27,4.085
28,3.229
29,3.546
30,3.490
31,3.246
32,4.291
33,3.449
34,3.330
35,3.848
36,3.928
37,4.086
38,3.352
39,3.778
40,3.125
41,3.635
42,3.765
43,3.853
44,3.633
45,4.240
46,3.735
47,3.635
48,4.447
49,3.351
50,4.697
51,3.834
52,4.015
53,3.680
54,4.230
55,4.255
56,4.344
57,4.437
58,3.909
59,4.712
60,4.105
61,4.330
62,3.699
63,3.743
64,4.528
65,3.517
66,3.754
67,3.624
68,4.187
69,3.962
70,3.858
71,3.339
72,4.027
73,4.010
74,3.594
75,3.543
76,3.234
77,4.184
78,3.882
79,4.158
80,5.078
81,4.008
82,3.279
83,3.660
84,3.928
85,4.178
86,4.343
87,3.711
88,3.588
89,4.445
90,3.681
91,3.864
92,4.174
93,3.449
94,3.908
95,3.756
96,3.075
97,3.696
98,3.899
99,3.929
100,3.995
101,4.533
102,4.025
103,3.717
104,3.872
105,3.875
106,4.235
107,3.705
108,3.564
109,3.610
110,4.586
111,3.479
112,3.988
113,3.828
114,4.139
115,3.235
116,4.696
117,3.484
118,3.445
119,3.474
120,3.247
121,4.150
122,3.652
123,4.485
124,4.472
125,4.704
126,3.665
127,4.543
128,3.766
129,3.560
130,4.111
131,3.458
132,3.808
133,3.983
134,4.189
135,3.597
136,3.452
137,3.647
138,3.857
139,3.820
140,3.465
141,3.583
142,3.930
143,3.511
144,3.633
145,3.789
146,3.337
147,3.529
148,4.528
149,3.446
150,4.098
151,3.404
152,3.394
153,3.043
154,3.592
155,3.955
156,3.894
157,4.367
158,3.884
159,4.166
160,4.156
161,3.549
162,4.132
163,4.523
164,3.354
165,4.413
166,3.491
167,3.269
168,2.893
169,4.407
170,3.333
171,3.724
172,4.175
173,4.156
174,4.570
175,3.912
176,3.274
177,3.417
178,4.018
179,3.855
180,3.051
181,3.655
182,4.667
183,3.989
184,3.718
185,4.051
186,4.116
187,4.483
188,4.166
189,3.735
190,3.338
191,3.947
192,3.183
193,4.404
194,3.975
195,3.954
196,4.289
197,4.049
198,3.763
199,4.314
200,3.989
201,3.327
202,3.918
203,3.670
204,4.341
205,3.695
206,4.111
207,4.202
208,4.719
209,3.892
210,3.987
211,4.212
212,3.719
213,4.230
214,3.638
215,4.726
216,2.726
217,3.247
218,3.767
219,3.928
220,3.576
221,3.880
222,3.518
223,3.534
224,3.971
225,3.121
226,4.245
227,3.714
228,4.941
229,4.283
230,3.918
231,3.305
232,3.798
233,3.159
234,3.566
235,3.121
236,3.723
237,4.423
238,4.585
239,3.985
240,3.634
241,3.894
242,3.403
243,3.580
244,4.715
245,4.770
246,3.924
247,3.311
248,3.719
249,3.952
250,3.275
251,4.271
252,3.371
253,3.335
254,3.657
255,3.642
256,3.632
257,3.672
258,3.730
259,3.611
260,3.968
261,3.746
262,4.053
263,3.822
264,4.337
265,3.516
266,4.154
267,4.598
268,3.595
269,3.650
270,4.484
271,3.692
272,4.248
273,3.685
274,3.464
275,3.550
276,3.765
277,3.322
278,4.357
279,3.363
280,3.539
281,3.960
282,3.729
283,3.980
284,3.029
285,4.008
286,3.445
287,3.468
288,3.925
289,3.613
290,3.552
291,3.311
292,3.726
293,3.933
294,3.600
295,3.925
296,4.118
297,3.144
298,2.941
299,3.366
300,3.918
301,4.076
302,3.234
303,3.374
304,3.635
305,4.066
306,4.933
307,4.092
308,3.340
309,3.951
310,4.042
311,3.917
312,4.053
313,3.614
314,4.607
315,3.270
316,3.550
317,3.297
318,4.337
319,3.774
320,3.925
321,4.067
322,4.487
323,4.583
324,4.103
325,4.523
326,4.193
327,4.132
328,4.362
329,4.195
330,4.304
331,3.748
332,4.275
333,3.207
334,3.800
335,3.938
336,4.126
337,3.926
338,3.872
339,3.606
340,3.521
341,4.024
342,3.574
343,3.654
344,3.875
345,3.651
346,4.479
347,4.722
348,2.527
349,4.214
350,4.206
351,3.178
352,3.435
353,3.689
354,2.972
355,3.084
356,3.124
357,4.162
358,2.991
359,3.660
360,4.165
361,3.747
362,3.607
363,4.467
364,3.618
365,4.508
366,4.276
367,3.604
368,3.183
369,3.929
370,3.888
371,3.031
372,4.003
373,4.283
374,4.019
375,3.821
376,4.083
377,3.780
378,3.106
379,4.065
380,4.048
381,3.721
382,4.554
383,2.993
384,3.811
385,3.934
386,3.374
387,3.704
388,4.096
389,4.131
390,4.347
391,2.746
392,4.376
393,3.044
394,3.411
395,4.198
396,4.504
397,3.063
398,3.984
399,3.705
400,4.023
401,3.280
402,3.231
403,2.907
404,3.517
405,3.713
406,4.276
407,3.465
408,3.893
409,3.438
410,4.096
411,3.796
412,3.328
413,3.629
414,3.832
415,4.027
416,4.887
417,3.826
418,3.493
419,2.929
420,3.793
421,3.592
422,3.325
423,3.527
424,4.327
425,4.039
426,3.396
427,3.544
428,3.777
429,3.155
430,4.028
431,3.604
432,4.004
433,3.655
434,3.867
435,4.142
436,3.934
437,3.866
438,3.935
439,4.206
440,4.415
441,3.478
442,4.035
443,3.470
444,4.058
445,3.966
446,3.211
447,3.708
448,3.606
449,3.915
450,3.574
451,4.079
452,4.135
453,3.942
454,3.772
455,3.870
456,3.671
457,2.774
458,3.677
459,3.787
460,3.927
461,3.459
462,3.382
463,4.225
464,3.665
465,2.947
466,3.488
467,3.311
468,4.113
469,3.586
470,3.473
471,4.280
472,3.589
473,3.792
474,3.465
475,3.829
476,3.486
477,3.561
478,3.544
479,3.644
480,3.592
481,3.950
482,3.844
483,3.384
484,3.457
485,3.595
486,3.009
487,3.675
488,3.349
489,3.173
490,3.415
491,4.514
492,3.828
493,3.774
494,2.905
495,3.770
496,3.733
497,4.835
498,4.439
499,3.621
500,3.717
501,4.179
502,3.414
503,3.448
504,3.908
505,4.160
506,3.885
507,4.054
508,3.731
509,3.884
510,4.165
511,3.264
512,3.887
513,3.716
514,3.719
515,3.426
516,4.215
517,3.891
518,3.876
519,3.825
520,3.812
521,3.551
522,4.244
523,4.079
524,2.942
525,3.555
526,3.847
527,4.007
528,3.978
529,3.708
530,3.480
531,3.674
532,3.931
533,3.604
534,3.539
535,3.467
536,4.212
537,3.644
538,2.995
539,3.208
540,3.329
541,3.511
542,3.612
543,3.892
544,3.727
545,2.827
546,3.526
547,3.329
548,3.470
549,4.352
550,3.647
551,3.666
552,3.525
553,3.093
554,3.372
555,4.163
556,3.752
557,4.357
558,3.942
559,3.195
560,2.981
561,4.003
562,3.915
563,3.590
564,4.040
565,3.623
566,4.358
567,3.780
568,3.683
569,4.049
570,3.681
571,3.093
572,3.472
573,4.257
574,3.935
575,4.199
576,4.147
577,3.995
578,3.683
579,4.155
580,3.980
581,3.818
582,3.587
583,4.052
584,4.676
585,3.166
586,3.478
587,3.999
588,3.471
589,4.333
590,3.183
591,3.717
592,3.066
593,3.392
594,3.190
595,3.997
596,3.848
597,3.648
598,3.535
599,4.068
600,3.549
601,3.926
602,4.234
603,4.244
604,3.321
605,3.884
606,4.105
607,3.590
608,4.335
609,3.674
610,3.822
611,2.967
612,4.077
613,4.072
614,3.194
615,3.776
616,4.194
617,4.394
618,4.374
619,3.927
620,3.630
621,3.412
622,3.809
623,3.829
624,3.630
625,3.883
626,3.911
627,4.245
628,3.910
629,4.140
630,4.013
631,4.531
632,3.990
633,4.606
634,3.631
635,3.744
636,3.666
637,4.012
638,3.618
639,3.691
640,3.965
641,3.817
642,4.198
643,3.512
644,3.943
645,3.722
646,3.966
647,3.736
648,4.031
649,3.732
650,3.790
651,3.636
652,3.546
653,4.562
654,4.633
655,4.624
656,3.179
657,4.155
658,3.434
659,3.881
660,3.526
661,4.179
662,3.884
663,3.452
664,4.227
665,3.398
666,3.479
667,2.827
668,4.081
669,3.846
670,3.160
671,3.273
672,3.836
673,3.838
674,5.165
675,4.269
676,4.296
677,3.975
678,3.669
679,4.053
680,4.359
681,3.080
682,3.720
683,3.113
684,3.743
685,4.013
686,3.261
687,3.651
688,4.437
689,3.454
690,3.618
691,4.332
692,2.930
693,3.506
694,4.067
695,3.555
696,4.113
697,3.392
698,4.376
699,2.946
700,3.469
701,4.694
702,3.914
703,3.537
704,4.012
705,4.547
706,4.092
707,4.643
708,3.633
709,3.690
710,3.727
711,3.472
712,3.803
713,3.878
714,3.336
715,3.817
716,4.462
717,4.153
718,4.543
719,4.410
720,3.706
721,3.338
722,3.979
723,3.447
724,3.207
725,3.759
726,3.888
727,4.072
728,3.996
729,3.775
730,4.093
731,3.835
732,2.663
733,3.527
734,4.346
735,3.730
736,4.252
737,3.219
738,3.829
739,3.980
740,4.291
741,3.935
742,4.119
743,3.495
744,3.495
745,4.352
746,2.631
747,4.589
748,4.253
749,3.544
750,4.080
751,3.961
752,4.445
753,4.093
754,2.948
755,3.728
756,4.706
757,4.157
758,3.983
759,3.420
760,4.024
761,4.043
762,3.938
763,3.409
