wall_type,roof_type,bed_net_available,bed_net_used_last_night,proximity_water_body_m,household_size,education_head,income_level,eave_open,floor_type,num_windows_screened,target
Concrete,Iron Sheet,0,1,523.4113674718119,3,Tertiary,High,0,Tile,6,0
Wood,Tile,1,1,493.95759814399963,9,None,High,1,Cement,2,0
Mud,Thatch,1,1,1812.5091610420734,5,None,Low,0,Earth,6,0
Concrete,Thatch,1,1,499.0923996990122,8,Tertiary,Low,1,Tile,2,0
Concrete,Thatch,1,0,543.8994522572619,7,Tertiary,Low,1,Cement,1,1
Wood,Thatch,0,0,1518.7965248359274,14,None,High,0,Earth,2,1
Mud,Concrete,1,1,899.47968490108,8,Primary,High,1,Tile,5,0
Mud,Thatch,0,0,1553.4211139103625,7,Primary,High,0,Earth,2,1
Concrete,Concrete,0,1,130.7323151287705,3,Tertiary,Low,0,Earth,1,0
Brick,Concrete,0,0,975.1423873467686,2,Secondary,Middle,0,Earth,1,1
Concrete,Thatch,0,1,67.22720036656527,7,Primary,High,1,Cement,4,0
Concrete,Thatch,0,1,125.30640691070904,3,Tertiary,Middle,0,Tile,6,0
Concrete,Iron Sheet,1,0,1812.874906688822,3,Primary,Middle,0,Tile,3,0
Concrete,Tile,1,0,278.49074223519034,2,Secondary,Middle,1,Cement,0,1
Wood,Thatch,1,1,1064.8413645504343,4,Tertiary,Low,1,Tile,0,0
Mud,Iron Sheet,1,1,822.1912052014131,8,Secondary,Middle,1,Earth,2,1
Wood,Iron Sheet,0,0,694.6866525176854,12,Tertiary,High,1,Tile,4,1
Wood,Tile,1,0,1799.6666913745448,1,Secondary,Low,0,Cement,2,1
Wood,Concrete,0,1,43.646793550979,1,Primary,High,0,Earth,0,0
Concrete,Thatch,1,0,1327.579372351178,12,Primary,High,0,Cement,6,0
Brick,Tile,0,1,1926.7888684271009,14,Secondary,Low,1,Earth,6,1
Mud,Thatch,0,1,1120.336366923684,5,Secondary,High,1,Earth,6,0
Brick,Iron Sheet,1,1,1873.6449240661836,11,Secondary,High,0,Tile,1,0
Wood,Iron Sheet,0,1,104.51575857204753,5,Tertiary,Low,1,Earth,3,1
Wood,Concrete,0,0,837.5866381483228,11,Primary,High,1,Cement,4,0
Brick,Iron Sheet,1,0,520.3155819241023,12,Tertiary,Middle,0,Tile,1,0
Brick,Iron Sheet,0,0,1461.6419299614595,1,Primary,High,0,Cement,3,0
Brick,Tile,1,0,1962.5941809944934,6,None,Middle,1,Earth,4,1
Wood,Thatch,1,0,513.0601248884956,1,Tertiary,High,1,Cement,4,1
Wood,Thatch,1,0,1308.349202948149,5,Primary,Low,1,Cement,0,1
Mud,Tile,0,0,396.19526551948024,9,Primary,Low,0,Earth,1,1
Mud,Concrete,0,1,1130.6605091432198,12,Tertiary,High,0,Tile,4,0
Wood,Thatch,0,0,927.8649733766724,14,Tertiary,Low,0,Cement,5,1
Brick,Iron Sheet,1,0,1944.010659263074,5,Primary,High,0,Earth,6,0
Brick,Thatch,0,1,1217.054545392933,6,Tertiary,Low,0,Tile,4,1
Mud,Iron Sheet,1,0,699.0127441736375,8,Secondary,Middle,1,Tile,3,1
Wood,Concrete,1,0,228.19156977586675,11,Tertiary,High,1,Tile,0,0
Mud,Tile,0,1,302.4936574698691,1,Tertiary,Middle,1,Cement,2,1
Mud,Thatch,1,0,450.6338599024702,14,Tertiary,Middle,0,Cement,6,1
Concrete,Tile,0,0,501.933322680596,2,Primary,High,0,Cement,0,1
Concrete,Thatch,0,0,1701.2321156822757,9,Secondary,Middle,0,Tile,2,0
Concrete,Iron Sheet,0,1,1122.4455765650498,3,None,High,1,Cement,1,0
Brick,Tile,0,0,1046.7818227487328,6,None,Middle,0,Earth,1,1
Wood,Thatch,0,0,229.53774373843493,5,Secondary,High,0,Cement,4,0
Wood,Iron Sheet,1,1,1720.27938669887,11,Secondary,High,1,Cement,5,0
Wood,Tile,1,0,1445.6286064169674,2,Secondary,Low,0,Tile,1,0
Wood,Tile,1,1,135.33672380000317,14,Primary,High,1,Cement,4,0
Concrete,Thatch,0,1,1415.6701944595372,15,None,High,0,Earth,6,0
Brick,Thatch,0,0,1087.076434685292,7,Secondary,Middle,0,Tile,0,1
Brick,Thatch,0,1,163.45069149355652,4,Primary,High,1,Earth,1,1
Concrete,Iron Sheet,1,1,916.6012830573129,1,None,Low,1,Tile,0,0
Brick,Thatch,0,0,969.392574260094,13,Tertiary,Middle,1,Tile,0,1
Concrete,Tile,1,1,331.5490803265515,4,Primary,Middle,1,Cement,5,0
Wood,Tile,1,1,1891.3962940005647,6,None,Low,1,Earth,1,0
Concrete,Thatch,0,0,1699.9507429613238,7,Primary,Middle,1,Tile,0,1
Wood,Thatch,0,0,1338.0446746582165,15,None,Middle,0,Cement,5,0
Wood,Concrete,1,0,924.5911220012144,7,None,Middle,0,Tile,5,0
Mud,Tile,0,1,823.531083169017,14,Tertiary,Middle,1,Tile,1,1
Concrete,Iron Sheet,1,0,1301.9469343019084,7,Primary,Low,0,Tile,5,0
Mud,Concrete,0,1,1090.8637388138109,3,Secondary,Low,1,Tile,1,1
Concrete,Thatch,0,1,124.54621176377123,6,Tertiary,Middle,0,Tile,1,1
Concrete,Thatch,1,1,1025.0052975406634,13,Tertiary,Middle,1,Tile,2,0
Mud,Tile,0,1,1612.807234465679,8,None,Low,0,Cement,0,1
Mud,Thatch,1,1,918.4797551939162,4,Secondary,Low,0,Tile,3,1
Concrete,Iron Sheet,0,1,103.91315510853683,13,Primary,Low,0,Earth,1,1
Brick,Tile,1,1,1572.5563987680662,8,Secondary,Middle,0,Cement,0,0
Wood,Thatch,1,0,402.7275642719488,2,Secondary,Middle,0,Earth,6,1
Mud,Tile,0,0,517.2416697760775,15,Secondary,High,1,Tile,5,1
Wood,Thatch,1,1,329.41270686459177,10,Secondary,Low,1,Earth,4,1
Brick,Thatch,0,1,660.4301297429951,9,Secondary,Middle,1,Tile,1,1
Brick,Thatch,0,0,1513.50301137727,9,None,Low,0,Tile,5,1
Brick,Iron Sheet,0,1,1038.7717190078747,8,None,Middle,1,Cement,5,0
Mud,Iron Sheet,1,0,409.7625483014251,10,Tertiary,Low,0,Cement,5,0
Brick,Tile,1,0,1755.6601563040817,14,None,Middle,0,Tile,5,1
Mud,Thatch,0,0,1759.1637099030584,13,Tertiary,High,0,Cement,5,1
Brick,Thatch,0,1,1741.1568500920139,10,Tertiary,High,1,Earth,1,0
Wood,Iron Sheet,1,1,477.59242276307856,1,Primary,Low,0,Cement,6,0
Wood,Thatch,0,0,902.4786883619762,2,Secondary,Middle,1,Cement,3,0
Concrete,Iron Sheet,0,0,1969.9793122817503,6,None,Middle,1,Earth,2,1
Wood,Thatch,1,0,1544.0249526199807,10,Primary,Low,0,Cement,5,1
Concrete,Tile,0,0,54.334842451119634,5,None,Middle,0,Tile,5,0
Wood,Thatch,1,0,130.4091825209841,12,Tertiary,Low,1,Earth,2,1
Mud,Thatch,0,1,927.8627536246655,14,None,Middle,1,Tile,6,0
Wood,Concrete,1,0,1818.4404117231204,9,Secondary,Low,1,Earth,6,1
Concrete,Iron Sheet,0,1,1077.4035959054283,5,Tertiary,Middle,1,Tile,1,1
Concrete,Thatch,0,0,995.6250160685804,2,Tertiary,Low,1,Tile,0,1
Brick,Thatch,1,1,210.94739991326117,10,Primary,Middle,1,Cement,4,1
Mud,Concrete,0,1,1313.560209448588,4,Secondary,High,0,Tile,4,0
Wood,Concrete,1,1,1644.206321200451,9,Tertiary,Middle,1,Cement,0,0
Brick,Iron Sheet,0,1,760.8400150151247,1,Secondary,Low,1,Earth,1,1
Wood,Concrete,1,1,1551.2237018506548,11,None,High,1,Tile,4,0
Wood,Tile,1,1,1928.9533078016232,1,Secondary,Middle,1,Tile,6,1
Brick,Concrete,1,0,407.5329182553782,12,Tertiary,High,0,Earth,2,0
Brick,Tile,1,1,1046.6592623894826,7,Primary,Middle,0,Earth,0,1
Brick,Iron Sheet,0,0,574.2759161691511,11,Tertiary,High,1,Tile,6,0
Brick,Iron Sheet,0,1,1585.7088380676787,3,Secondary,Low,1,Earth,3,1
Brick,Iron Sheet,1,1,1155.186731762315,10,Secondary,Middle,1,Cement,1,0
Wood,Iron Sheet,1,0,1269.1648351006074,2,Tertiary,Middle,0,Earth,0,1
Brick,Iron Sheet,1,1,1595.828319231788,9,Secondary,Low,0,Earth,4,1
Mud,Tile,0,0,791.9409453249098,3,None,High,0,Tile,1,1
Concrete,Tile,0,0,1830.1801368140864,2,Tertiary,Low,0,Cement,2,0
Brick,Iron Sheet,0,0,1066.05773449228,12,Primary,Low,0,Earth,1,1
Brick,Concrete,0,0,315.909645670696,8,Tertiary,High,0,Cement,1,0
Wood,Thatch,1,1,1391.798236337605,10,None,Low,1,Cement,2,0
Brick,Iron Sheet,1,1,1586.522700876509,6,None,Middle,0,Cement,5,0
Brick,Concrete,1,0,633.5233541350533,6,None,Middle,0,Tile,2,0
Brick,Thatch,0,1,1714.358513997506,10,None,Middle,1,Earth,6,0
Wood,Iron Sheet,0,1,1812.2865095315328,11,None,Low,0,Tile,1,0
Brick,Iron Sheet,0,0,553.8089747556179,7,Primary,Middle,1,Earth,2,0
Concrete,Tile,1,1,1967.0429454304442,7,Secondary,Middle,0,Earth,5,0
Wood,Thatch,1,0,281.42305609751685,11,None,Middle,1,Tile,6,1
