,precision,recall,f1-score,support,model
0,0.8120300751879699,0.8852459016393442,0.8470588235294118,122.0,Logistic Regression
1,0.7910447761194029,0.6794871794871795,0.7310344827586207,78.0,Logistic Regression
accuracy,0.805,0.805,0.805,0.805,Logistic Regression
macro avg,0.8015374256536865,0.7823665405632618,0.7890466531440162,200.0,Logistic Regression
weighted avg,0.8038458085512288,0.805,0.8018093306288033,200.0,Logistic Regression
0,0.831858407079646,0.7704918032786885,0.8,122.0,Decision Tree
1,0.6781609195402298,0.7564102564102564,0.7151515151515152,78.0,Decision Tree
accuracy,0.765,0.765,0.765,0.765,Decision Tree
macro avg,0.7550096633099379,0.7634510298444724,0.7575757575757576,200.0,Decision Tree
weighted avg,0.7719163869392738,0.765,0.766909090909091,200.0,Decision Tree
0,0.7535211267605634,0.8770491803278688,0.8106060606060606,122.0,Random Forest
1,0.7413793103448276,0.5512820512820513,0.6323529411764706,78.0,Random Forest
accuracy,0.75,0.75,0.75,0.75,Random Forest
macro avg,0.7474502185526954,0.7141656158049601,0.7214795008912656,200.0,Random Forest
weighted avg,0.7487858183584265,0.75,0.7410873440285205,200.0,Random Forest
