,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_n_estimators,state
0,0,0.995169330567164,2026-06-25 19:50:09.489239,2026-06-25 19:50:14.530379,0 days 00:00:05.041140,12,7,234,COMPLETE
1,1,0.9962528086204532,2026-06-25 19:50:14.530904,2026-06-25 19:50:20.019836,0 days 00:00:05.488932,15,5,246,COMPLETE
2,2,0.9858244636933815,2026-06-25 19:50:20.020347,2026-06-25 19:50:22.361483,0 days 00:00:02.341136,8,2,115,COMPLETE
3,3,0.9973213073137306,2026-06-25 19:50:22.361973,2026-06-25 19:50:25.287151,0 days 00:00:02.925178,20,6,123,COMPLETE
4,4,0.9957073028903407,2026-06-25 19:50:25.287626,2026-06-25 19:50:26.696228,0 days 00:00:01.408602,14,7,55,COMPLETE
5,5,0.9819655480607903,2026-06-25 19:50:26.696794,2026-06-25 19:50:31.928264,0 days 00:00:05.231470,6,9,218,COMPLETE
6,6,0.9596765660447684,2026-06-25 19:50:31.928850,2026-06-25 19:50:35.524604,0 days 00:00:03.595754,3,3,233,COMPLETE
7,7,0.9962528086204532,2026-06-25 19:50:35.525073,2026-06-25 19:50:40.758868,0 days 00:00:05.233795,18,7,228,COMPLETE
8,8,0.9643718116128976,2026-06-25 19:50:40.759411,2026-06-25 19:50:44.781972,0 days 00:00:04.022561,4,8,238,COMPLETE
9,9,0.9962528086204532,2026-06-25 19:50:44.782424,2026-06-25 19:50:47.239055,0 days 00:00:02.456631,16,9,106,COMPLETE
10,10,0.9973213073137306,2026-06-25 19:50:47.239546,2026-06-25 19:50:53.891655,0 days 00:00:06.652109,20,4,291,COMPLETE
11,11,0.9973213073137306,2026-06-25 19:50:53.892101,2026-06-25 19:50:57.864431,0 days 00:00:03.972330,20,4,170,COMPLETE
12,12,0.9973213073137306,2026-06-25 19:50:57.864959,2026-06-25 19:51:01.870693,0 days 00:00:04.005734,20,5,171,COMPLETE
13,13,0.9967870579670919,2026-06-25 19:51:01.871179,2026-06-25 19:51:08.451269,0 days 00:00:06.580090,18,5,290,COMPLETE
14,14,0.9978555566603692,2026-06-25 19:51:08.451730,2026-06-25 19:51:15.200218,0 days 00:00:06.748488,18,1,289,COMPLETE
15,15,0.9946388391786073,2026-06-25 19:51:15.200779,2026-06-25 19:51:16.470244,0 days 00:00:01.269465,11,1,52,COMPLETE
16,16,0.9978555566603692,2026-06-25 19:51:16.470711,2026-06-25 19:51:20.398920,0 days 00:00:03.928209,17,1,167,COMPLETE
17,17,0.9978555566603692,2026-06-25 19:51:20.399440,2026-06-25 19:51:24.577736,0 days 00:00:04.178296,17,1,179,COMPLETE
18,18,0.9957073028903407,2026-06-25 19:51:24.578176,2026-06-25 19:51:28.815027,0 days 00:00:04.236851,13,2,195,COMPLETE
19,19,0.9935439634261153,2026-06-25 19:51:28.815517,2026-06-25 19:51:31.807035,0 days 00:00:02.991518,9,2,140,COMPLETE
20,20,0.9967870579670919,2026-06-25 19:51:31.807464,2026-06-25 19:51:37.851674,0 days 00:00:06.044210,16,1,266,COMPLETE
21,21,0.9973213073137306,2026-06-25 19:51:37.852122,2026-06-25 19:51:42.415609,0 days 00:00:04.563487,17,1,195,COMPLETE
22,22,0.9973213073137306,2026-06-25 19:51:42.416079,2026-06-25 19:51:46.003197,0 days 00:00:03.587118,18,3,151,COMPLETE
23,23,0.9967870579670919,2026-06-25 19:51:46.003707,2026-06-25 19:51:48.123846,0 days 00:00:02.120139,15,1,85,COMPLETE
24,24,0.9973213073137306,2026-06-25 19:51:48.124279,2026-06-25 19:51:52.774456,0 days 00:00:04.650177,17,3,201,COMPLETE
25,25,0.9973213073137306,2026-06-25 19:51:52.774956,2026-06-25 19:51:56.769996,0 days 00:00:03.995040,18,2,168,COMPLETE
26,26,0.9962528086204532,2026-06-25 19:51:56.770425,2026-06-25 19:51:58.632309,0 days 00:00:01.861884,13,1,78,COMPLETE
27,27,0.9967870579670919,2026-06-25 19:51:58.632835,2026-06-25 19:52:04.965341,0 days 00:00:06.332506,16,2,274,COMPLETE
28,28,0.9978555566603692,2026-06-25 19:52:04.965850,2026-06-25 19:52:08.513727,0 days 00:00:03.547877,19,3,149,COMPLETE
29,29,0.9946350812205254,2026-06-25 19:52:08.514147,2026-06-25 19:52:13.957009,0 days 00:00:05.442862,11,1,258,COMPLETE
30,30,0.9962528086204532,2026-06-25 19:52:13.957460,2026-06-25 19:52:18.778889,0 days 00:00:04.821429,14,2,212,COMPLETE
31,31,0.9978555566603692,2026-06-25 19:52:18.779357,2026-06-25 19:52:22.269175,0 days 00:00:03.489818,19,3,146,COMPLETE
32,32,0.9973213073137306,2026-06-25 19:52:22.269630,2026-06-25 19:52:25.266385,0 days 00:00:02.996755,17,4,128,COMPLETE
33,33,0.9978555566603692,2026-06-25 19:52:25.266869,2026-06-25 19:52:29.516429,0 days 00:00:04.249560,19,3,180,COMPLETE
34,34,0.9978555566603692,2026-06-25 19:52:29.516961,2026-06-25 19:52:34.427624,0 days 00:00:04.910663,19,2,157,COMPLETE
35,35,0.9967870579670919,2026-06-25 19:52:34.428106,2026-06-25 19:52:37.520855,0 days 00:00:03.092749,15,1,129,COMPLETE
36,36,0.9967870579670919,2026-06-25 19:52:37.521296,2026-06-25 19:52:39.989161,0 days 00:00:02.467865,17,4,104,COMPLETE
37,37,0.9957073028903407,2026-06-25 19:52:39.989699,2026-06-25 19:52:43.942402,0 days 00:00:03.952703,14,10,181,COMPLETE
38,38,0.9967870579670919,2026-06-25 19:52:43.942829,2026-06-25 19:52:49.644333,0 days 00:00:05.701504,19,6,250,COMPLETE
39,39,0.9967870579670919,2026-06-25 19:52:49.644893,2026-06-25 19:52:51.840401,0 days 00:00:02.195508,16,3,87,COMPLETE
40,40,0.9978555566603692,2026-06-25 19:52:51.840900,2026-06-25 19:52:57.009241,0 days 00:00:05.168341,18,1,221,COMPLETE
41,41,0.9978555566603692,2026-06-25 19:52:57.009761,2026-06-25 19:53:00.439309,0 days 00:00:03.429548,19,3,144,COMPLETE
42,42,0.9978555566603692,2026-06-25 19:53:00.439730,2026-06-25 19:53:04.217222,0 days 00:00:03.777492,19,2,156,COMPLETE
43,43,0.9967870579670919,2026-06-25 19:53:04.217671,2026-06-25 19:53:06.780373,0 days 00:00:02.562702,17,5,107,COMPLETE
44,44,0.9978555566603692,2026-06-25 19:53:06.780916,2026-06-25 19:53:10.033167,0 days 00:00:03.252251,20,3,136,COMPLETE
45,45,0.9973213073137306,2026-06-25 19:53:10.033650,2026-06-25 19:53:14.382860,0 days 00:00:04.349210,18,2,186,COMPLETE
46,46,0.9962528086204532,2026-06-25 19:53:14.383360,2026-06-25 19:53:18.096997,0 days 00:00:03.713637,15,4,162,COMPLETE
47,47,0.9978555566603692,2026-06-25 19:53:18.097442,2026-06-25 19:53:21.035854,0 days 00:00:02.938412,20,2,119,COMPLETE
48,48,0.9962528086204532,2026-06-25 19:53:21.036362,2026-06-25 19:53:25.903027,0 days 00:00:04.866665,16,1,208,COMPLETE
49,49,0.9837147468703547,2026-06-25 19:53:25.903482,2026-06-25 19:53:27.369408,0 days 00:00:01.465926,5,3,67,COMPLETE
50,50,0.9978630026134454,2026-06-25 19:53:27.369974,2026-06-25 19:53:32.153625,0 days 00:00:04.783651,19,6,150,COMPLETE
51,51,0.9978630026134454,2026-06-25 19:53:32.154066,2026-06-25 19:53:36.079102,0 days 00:00:03.925036,19,6,148,COMPLETE
52,52,0.9962528086204532,2026-06-25 19:53:36.079528,2026-06-25 19:53:40.187169,0 days 00:00:04.107641,18,6,173,COMPLETE
53,53,0.9967870579670919,2026-06-25 19:53:40.187649,2026-06-25 19:53:42.945560,0 days 00:00:02.757911,20,7,114,COMPLETE
54,54,0.9962528086204532,2026-06-25 19:53:42.945989,2026-06-25 19:53:49.688330,0 days 00:00:06.742341,17,6,299,COMPLETE
55,55,0.9962528086204532,2026-06-25 19:53:49.688900,2026-06-25 19:53:54.112263,0 days 00:00:04.423363,19,8,189,COMPLETE
56,56,0.9962528086204532,2026-06-25 19:53:54.112784,2026-06-25 19:53:58.055990,0 days 00:00:03.943206,18,8,166,COMPLETE
57,57,0.9962528086204532,2026-06-25 19:53:58.056515,2026-06-25 19:54:03.581662,0 days 00:00:05.525147,17,7,237,COMPLETE
58,58,0.9973213073137306,2026-06-25 19:54:03.582228,2026-06-25 19:54:07.236959,0 days 00:00:03.654731,20,5,150,COMPLETE
59,59,0.9962528086204532,2026-06-25 19:54:07.237395,2026-06-25 19:54:10.568656,0 days 00:00:03.331261,16,7,141,COMPLETE
60,60,0.9962528086204532,2026-06-25 19:54:10.569100,2026-06-25 19:54:14.006917,0 days 00:00:03.437817,18,6,135,COMPLETE
61,61,0.9978555566603692,2026-06-25 19:54:14.007548,2026-06-25 19:54:17.937162,0 days 00:00:03.929614,19,1,148,COMPLETE
62,62,0.9973213073137306,2026-06-25 19:54:17.937625,2026-06-25 19:54:21.839611,0 days 00:00:03.901986,19,4,159,COMPLETE
63,63,0.9967870579670919,2026-06-25 19:54:21.840079,2026-06-25 19:54:26.118145,0 days 00:00:04.278066,17,5,175,COMPLETE
64,64,0.9869117880849814,2026-06-25 19:54:26.118572,2026-06-25 19:54:28.797293,0 days 00:00:02.678721,8,1,125,COMPLETE
65,65,0.9978555566603692,2026-06-25 19:54:28.797797,2026-06-25 19:54:32.175975,0 days 00:00:03.378178,20,2,133,COMPLETE
66,66,0.9973213073137306,2026-06-25 19:54:32.176530,2026-06-25 19:54:37.732106,0 days 00:00:05.555576,19,5,152,COMPLETE
