,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0,0.9896662866368267,2026-06-25 19:47:54.921506,2026-06-25 19:47:56.663183,0 days 00:00:01.741677,0.8803622823539634,0.003815981501270839,9,259,0.5845509818070946,COMPLETE
1,1,0.9891009013892426,2026-06-25 19:47:56.663701,2026-06-25 19:47:57.630748,0 days 00:00:00.967047,0.8401875240120528,0.020489948286543967,4,194,0.6940617475240001,COMPLETE
2,2,0.9989351897567559,2026-06-25 19:47:57.631229,2026-06-25 19:47:58.736019,0 days 00:00:01.104790,0.8182624500490012,0.12958990146147548,5,196,0.5200052053409505,COMPLETE
3,3,0.906933690774751,2026-06-25 19:47:58.736539,2026-06-25 19:47:59.930734,0 days 00:00:01.194195,0.6920855172148321,0.002647101655560605,3,292,0.8682983516775968,COMPLETE
4,4,0.9951805344783221,2026-06-25 19:47:59.931152,2026-06-25 19:48:00.515405,0 days 00:00:00.584253,0.7348257732020949,0.004451568780598834,9,53,0.637614167096132,COMPLETE
5,5,0.9989351897567559,2026-06-25 19:48:00.515848,2026-06-25 19:48:01.213855,0 days 00:00:00.698007,0.8606580010547626,0.27029281946298866,4,119,0.5289105053235112,COMPLETE
6,6,0.8705126004584696,2026-06-25 19:48:01.214294,2026-06-25 19:48:01.685384,0 days 00:00:00.471090,0.9488376330240011,0.005722557618794978,3,51,0.6687507436630147,COMPLETE
7,7,1.0,2026-06-25 19:48:01.685854,2026-06-25 19:48:02.670651,0 days 00:00:00.984797,0.6751734542230283,0.0695494036744425,4,208,0.9083697601490259,COMPLETE
8,8,0.9940468937345533,2026-06-25 19:48:02.671111,2026-06-25 19:48:04.092059,0 days 00:00:01.420948,0.9192214967921871,0.0039931303403611465,10,197,0.9505523381196174,COMPLETE
9,9,0.992974706591243,2026-06-25 19:48:04.092617,2026-06-25 19:48:05.216207,0 days 00:00:01.123590,0.9618076404198348,0.025415806923469595,3,256,0.5031342322163885,COMPLETE
10,10,0.9989351897567559,2026-06-25 19:48:05.216726,2026-06-25 19:48:06.086048,0 days 00:00:00.869322,0.524757547229338,0.0512087168703763,7,134,0.837352885990242,COMPLETE
11,11,1.0,2026-06-25 19:48:06.086456,2026-06-25 19:48:07.180966,0 days 00:00:01.094510,0.6926318968558527,0.1499623042260604,6,193,0.7761381286305674,COMPLETE
12,12,1.0,2026-06-25 19:48:07.181392,2026-06-25 19:48:08.237050,0 days 00:00:01.055658,0.6256697301165085,0.09411918268564418,6,156,0.7643171903471783,COMPLETE
13,13,0.9989351897567559,2026-06-25 19:48:08.237477,2026-06-25 19:48:10.037639,0 days 00:00:01.800162,0.6026131953311552,0.24349784913098743,7,234,0.9868696347122686,COMPLETE
14,14,0.9989351897567559,2026-06-25 19:48:10.038102,2026-06-25 19:48:11.440770,0 days 00:00:01.402668,0.7689595607822741,0.04100612160561011,6,166,0.8615016268225553,COMPLETE
15,15,0.9642764474737049,2026-06-25 19:48:11.441215,2026-06-25 19:48:12.651488,0 days 00:00:01.210273,0.670758385352068,0.0011245333095148092,5,224,0.7823607360771235,COMPLETE
16,16,0.9994694220636775,2026-06-25 19:48:12.651922,2026-06-25 19:48:13.327993,0 days 00:00:00.676071,0.5373806281029387,0.10586934232894066,7,85,0.9236489567059023,COMPLETE
17,17,0.9802381261067742,2026-06-25 19:48:13.328515,2026-06-25 19:48:14.335682,0 days 00:00:01.007167,0.7653556586505272,0.013347607360468866,5,167,0.758776314009415,COMPLETE
18,18,1.0,2026-06-25 19:48:14.336106,2026-06-25 19:48:15.487877,0 days 00:00:01.151771,0.6012120058741797,0.0520118602286404,6,220,0.8144831122546731,COMPLETE
19,19,1.0,2026-06-25 19:48:15.488352,2026-06-25 19:48:16.761607,0 days 00:00:01.273255,0.6781122047718137,0.16179475106101304,4,293,0.912857633535908,COMPLETE
20,20,0.9994694220636775,2026-06-25 19:48:16.762098,2026-06-25 19:48:17.693469,0 days 00:00:00.931371,0.7232916857037638,0.07344868975301541,8,128,0.7303992205444597,COMPLETE
21,21,1.0,2026-06-25 19:48:17.693910,2026-06-25 19:48:18.655083,0 days 00:00:00.961173,0.6252073431454309,0.09531245562522934,6,169,0.7350752630686348,COMPLETE
22,22,1.0,2026-06-25 19:48:18.655515,2026-06-25 19:48:19.580976,0 days 00:00:00.925461,0.6396954727901276,0.1830174416938049,6,151,0.8044809663319019,COMPLETE
23,23,0.9989351897567559,2026-06-25 19:48:19.581379,2026-06-25 19:48:20.262779,0 days 00:00:00.681400,0.5588923186993267,0.07668830249909431,5,106,0.9019940548827735,COMPLETE
24,24,0.9989351897567559,2026-06-25 19:48:20.263197,2026-06-25 19:48:21.459049,0 days 00:00:01.195852,0.5738054638271215,0.029735487871610275,8,188,0.6240841192628488,COMPLETE
25,25,0.9841779634959945,2026-06-25 19:48:21.459476,2026-06-25 19:48:22.455586,0 days 00:00:00.996110,0.6512724435159176,0.01606201337649477,4,211,0.9956809098049542,COMPLETE
26,26,1.0,2026-06-25 19:48:22.456015,2026-06-25 19:48:23.942356,0 days 00:00:01.486341,0.7867688566799417,0.16484482760688546,7,249,0.7029301452431487,COMPLETE
27,27,0.9924330112915282,2026-06-25 19:48:23.942773,2026-06-25 19:48:25.648135,0 days 00:00:01.705362,0.705100669552149,0.009563794898817191,8,148,0.7763251092892941,COMPLETE
28,28,1.0,2026-06-25 19:48:25.648989,2026-06-25 19:48:27.221041,0 days 00:00:01.572052,0.7318926126780088,0.06360059262886902,5,176,0.8711275917331939,COMPLETE
