battery_soc,vehicle_speed_kmh,road_incline_deg,ambient_temp_c,engine_load_pct,altitude_m,trip_duration_min,avg_speed_last_5min,elevation_gain_m,generator_rpm,efficiency_ratio_kwh_per_l,optimal_trigger_soc,generator_active
43.52,63.8,1.06,20.27,35.48,1624.96,169.61,54.27,1.0,2992.39,2.5,35.38,0
47.86,1.98,-11.65,19.39,11.19,2320.25,152.63,13.99,187.13,2360.06,2.5,39.57,0
52.42,15.64,13.49,20.38,51.69,210.58,53.84,20.96,402.97,3220.37,2.5,47.57,0
15.78,62.39,12.62,9.27,93.58,1097.8,147.98,35.97,379.94,1647.44,2.5,50.44,1
55.4,101.03,0.69,15.64,14.1,394.27,147.88,129.61,365.0,2899.68,2.5,41.7,0
70.71,108.37,14.8,8.95,92.4,25.25,57.52,118.53,113.6,2179.8,2.5645,60.63,0
48.92,40.09,6.35,-3.13,46.32,2224.31,39.49,74.87,94.13,3739.42,2.5,43.05,0
8.99,113.38,12.79,13.89,82.07,1202.86,149.6,88.16,445.5,2677.1,2.5,56.02,1
27.13,128.3,-7.07,37.01,13.99,181.75,17.76,28.16,214.15,2120.67,2.5,52.92,1
19.76,55.42,4.28,11.91,40.95,2012.72,85.05,48.57,229.29,1949.17,2.5,37.51,1
85.13,87.08,-1.31,-0.8,10.76,1498.71,128.72,65.46,272.65,2322.2,2.5,42.94,0
58.17197538497028,93.22,14.72,36.52,60.74,1521.93,48.1,67.71,188.48,2667.43,2.5757,55.38,0
74.12,2.69,-5.7,22.44,97.23,853.72,82.25,74.5,83.79,1801.67,2.6347,35.44,0
68.69,2.3,0.39,18.94,86.51,2228.58,27.06,34.31,416.52,2396.79,2.5884,26.28,0
43.97,104.91,-5.81,8.99,42.3,2311.73,24.41,9.31,322.45,2483.29,2.5,44.86,1
9.43,21.31,-1.04,30.86,84.72,2478.0,14.7,102.69,61.22,1901.36,2.6329,28.75,1
50.78268538086678,23.75,13.0,-3.0,87.34,1759.51,172.13,58.75,389.06,3618.86,2.5,50.02,0
72.17,78.24,6.03,22.19,80.14,1294.74,44.89,101.7,25.94,2984.96,2.6847,43.67,0
61.92753239035632,112.04,-8.77,-8.88,63.34,651.04,168.04,58.78,271.96,2922.08,2.5489,59.7,0
53.76,100.89,-4.63,-7.76,36.19,1157.53,109.63,3.02,381.2,2171.69,2.5,51.99,0
49.33,38.02,-10.49,11.02,39.58,1342.69,99.87,18.22,447.91,1857.17,2.5,44.29,0
20.23,45.19,-9.93,-8.21,31.36,1756.13,154.37,102.48,216.17,3173.59,2.5,50.9,1
22.58,112.77,0.23,32.93,11.66,686.05,82.86,129.45,179.06,3412.12,2.5,41.92,1
73.36,20.48,-2.08,40.45,34.54,731.59,40.87,31.5,433.55,1668.27,2.5287,33.4,0
18.44,20.52,-1.4,-4.82,47.71,2248.67,24.94,105.34,137.29,3786.62,2.5,35.48,1
14.72,101.29,-9.81,30.4,68.65,1259.78,98.73,32.86,245.32,1646.45,2.6739,50.94,1
65.96,97.8,-0.91,29.92,82.15,1662.54,63.98,124.85,478.82,2854.81,2.6854,39.05,0
43.581517600069155,63.0,-7.22,10.73,19.42,1739.48,55.25,83.57,142.22,3500.12,2.5,42.45,0
90.42,113.0,0.67,24.22,82.59,2031.11,8.88,99.74,326.42,1573.31,2.7467,39.78,0
85.89,61.8,8.93,42.04,13.19,1722.21,158.9,56.73,494.97,2490.79,2.5,44.4,0
77.94,40.62,-0.5,42.89,73.72,1750.03,109.58,53.21,341.42,3629.91,2.5379,31.79,0
6.0,62.22,12.61,-3.74,49.23,2214.35,5.08,96.35,422.45,2782.17,2.5,53.38,1
52.04,128.99,0.33,26.38,72.45,1212.92,40.25,26.15,356.86,3219.55,2.7793,42.85,0
90.56,110.5,-0.14,22.21,51.28,183.19,18.1,103.51,157.86,1842.89,2.975,42.55,0
67.15,128.13,-3.4,9.74,66.5,988.4,127.07,54.0,26.66,3043.69,2.7345,46.99,0
86.53,13.28,-2.35,7.28,29.72,1942.84,26.85,108.38,407.07,2806.32,2.5,31.55,0
34.42305144625779,0.0,-0.14,-5.99,45.1,1141.09,166.08,0.0,328.72,3928.03,2.5,34.28,0
49.83,89.89,-5.4,23.84,21.89,1822.06,51.27,95.45,134.72,2933.67,2.5,43.21,0
69.25,83.25,-8.07,27.62,51.17,1333.0,68.26,25.22,177.78,2155.31,2.8078,46.62,0
89.35,60.06,10.19,10.85,95.17,956.9,85.82,112.29,202.95,1942.78,2.5,47.24,0
24.82,3.63,6.53,-6.33,75.31,2193.12,9.54,10.88,437.32,1506.56,2.5,40.4,1
16.41,14.25,-14.65,15.31,17.59,263.03,69.82,124.53,270.52,1599.41,2.5,48.7,1
29.57,121.92,-14.94,4.43,73.11,2136.07,13.93,29.34,464.44,2858.38,2.5,59.95,1
45.1,113.39,0.91,13.95,15.96,53.22,117.72,20.87,93.32,1850.87,2.5,44.07,0
69.86,65.94,-14.96,14.45,70.05,2403.72,57.76,116.28,498.19,3829.59,2.5,50.75,0
63.22,12.47,-1.61,-9.21,42.07,341.5,56.04,45.57,189.22,3875.73,2.5,40.37,0
42.26484738061013,17.28,6.05,30.67,36.27,799.73,126.06,18.27,465.81,3488.5,2.5,37.65,0
55.26,33.76,-1.17,24.25,70.8,983.25,127.26,41.63,230.01,1638.95,2.9296,33.33,0
50.41104455320335,36.57,-10.31,11.94,24.02,508.1,90.74,32.42,38.69,3048.0,2.5,45.58,0
43.82,67.3,2.24,8.4,57.92,1993.29,96.54,87.16,158.88,3419.5,2.5,37.11,0
56.94268004095741,80.26,13.65,44.8,37.38,620.61,173.25,33.28,141.02,3594.4,2.5,54.4,0
33.52418371237141,29.22,-0.68,31.4,44.2,1697.62,11.93,39.27,499.05,3770.12,2.5,30.79,0
74.51,45.69,-9.64,-8.42,14.69,1456.0,129.77,95.66,21.55,3334.6,2.5,51.3,0
47.904488664024356,7.02,-8.21,-6.2,81.11,1188.77,126.93,24.96,330.75,2376.16,2.5,44.76,0
72.94,0.0,-2.16,-7.62,28.86,1335.3,116.46,0.0,362.82,2053.9,2.5,36.97,0
18.8,81.35,-11.14,-1.74,32.1,72.95,68.12,7.49,38.02,3406.3,2.5,57.3,1
24.26,12.74,0.0,31.96,43.85,1648.61,119.64,28.15,158.6,3534.51,2.5026,28.17,1
57.97,102.69,1.56,39.24,39.48,866.58,39.11,36.19,55.33,3216.41,2.5,41.99,0
88.88,104.66,0.34,23.27,10.46,10.0,19.48,96.39,211.16,3051.62,2.5,42.46,0
51.76,56.01,0.17,31.69,85.78,529.41,60.27,112.23,243.19,2503.22,2.9609,35.61,0
79.82,119.62,-0.3,20.52,11.32,2194.44,82.39,123.85,240.84,1755.96,2.5,39.77,0
45.90509199135734,50.03,-7.15,13.12,19.44,1090.1,99.35,6.07,387.78,3452.48,2.5,42.17,0
55.61,122.49,0.61,14.37,72.73,922.19,144.48,98.68,280.47,3914.53,2.6187,43.02,0
6.36,93.83,11.54,36.21,24.68,123.28,163.71,86.44,364.31,3943.76,2.5,54.43,1
6.84,23.13,12.24,5.65,22.27,1005.4,45.2,54.28,218.35,1793.85,2.5,47.09,1
50.86572533367381,109.41,-7.75,33.85,82.98,903.13,135.5,50.11,343.9,2739.48,2.5956,50.12,0
48.43,11.96,3.11,-3.6,46.37,1724.89,45.72,50.21,93.1,2438.74,2.503,37.1,0
91.82,107.84,-0.19,16.19,60.68,826.53,17.16,102.33,108.95,3633.87,2.6024,41.02,0
78.65,118.88,3.49,13.43,59.96,2003.77,167.48,38.14,104.7,3082.72,2.5701,43.9,0
61.42,67.12,-12.32,32.2,62.96,50.49,68.57,89.22,262.38,2246.63,2.9367,52.43,0
47.63156081248887,73.06,8.34,31.2,87.06,2267.35,132.49,97.81,354.62,3968.84,2.5,43.9,0
48.78,2.3,3.14,10.16,25.35,1273.99,33.56,117.83,396.37,3529.74,2.5,31.49,0
41.58,0.06,-14.51,31.59,85.9,1100.02,94.26,58.58,116.9,2718.85,2.5196,45.22,1
40.82008374535647,55.08,4.55,40.83,41.98,1618.76,158.08,90.86,368.42,3174.77,2.5,38.58,0
49.44,72.93,12.66,42.56,43.88,386.1,97.56,59.5,15.74,2652.67,2.5,52.83,1
13.58,101.21,11.22,24.06,55.4,1112.49,98.49,26.97,229.29,3296.79,2.5,52.92,1
46.44730678866443,48.6,-8.71,43.48,13.75,2163.03,92.1,35.06,212.6,2794.03,2.5,41.73,0
8.79,101.55,-0.4,-5.58,16.77,1312.11,154.5,128.75,297.6,3120.31,2.5,45.81,1
45.581783528169396,104.49,1.58,8.76,24.83,234.24,81.82,40.25,271.82,1967.18,2.5,43.98,0
72.47,25.06,-5.41,30.4,97.34,161.38,46.52,123.83,161.7,2390.51,2.6896,39.06,0
87.11,110.94,10.54,23.49,48.78,487.77,167.75,44.26,418.33,2147.53,2.6712,54.47,0
88.81,10.51,5.23,27.37,30.64,1541.4,93.66,24.33,342.89,2610.29,2.5,34.41,0
65.77,66.14,8.86,27.08,90.98,2250.39,19.71,12.19,315.15,2041.99,2.5973,43.76,0
47.59,41.16,-10.54,8.06,85.19,258.62,113.69,129.88,172.77,2309.21,2.6516,47.66,1
30.34,64.57,-4.89,15.34,84.93,2225.03,12.26,66.24,406.5,3681.76,2.5,38.87,1
17.73,119.19,0.95,-3.78,76.99,761.41,44.51,125.06,137.47,3382.04,2.5,48.88,1
92.48,28.01,13.36,44.52,25.27,2077.78,132.1,107.29,139.38,1828.48,2.5,45.11,0
72.84,118.93,3.85,-8.36,37.44,2114.62,76.35,75.33,485.16,2448.29,2.5,51.46,0
21.41,121.18,-3.87,29.8,42.7,958.47,125.74,41.64,200.14,3879.23,2.5,46.71,1
54.62,96.79,12.53,1.06,30.79,605.14,40.75,20.31,378.86,1583.86,2.5,58.57,1
87.92,100.16,-4.65,44.44,82.44,913.48,81.91,101.02,120.92,2768.44,2.6813,45.31,0
30.13,66.94,9.17,35.14,66.88,379.43,94.11,119.48,94.3,2551.98,2.9314,47.97,1
15.76,115.43,-14.41,-5.91,32.47,895.99,81.24,29.22,46.74,2099.64,2.5,65.18,1
80.24,34.71,3.46,1.89,74.48,2227.88,123.2,49.43,269.22,2367.32,2.7614,36.95,0
59.4,6.47,-3.25,30.23,60.04,812.73,143.22,38.9,218.13,2920.58,2.8045,33.02,0
66.98,4.35,-5.08,4.57,24.34,845.78,79.76,88.57,13.08,2828.52,2.5,37.08,0
26.57,12.66,-1.06,-7.38,83.89,757.93,174.8,25.12,107.54,3415.58,2.5,38.17,1
88.3,27.29,-7.07,32.88,86.48,748.37,111.02,122.81,487.76,3768.8,2.5,40.14,0
47.42,13.64,-9.04,3.33,25.83,2471.85,26.56,38.35,124.24,3214.23,2.5,40.15,0
92.7,19.48,12.04,12.48,21.37,1768.01,149.7,49.5,317.34,2785.12,2.5,43.16,0
65.71,91.42,0.08,7.85,31.27,2156.88,40.92,95.85,349.79,1929.1,2.5,37.19,0
71.2,78.55,3.17,16.3,99.04,1839.09,68.74,69.02,464.49,3065.49,2.5,39.19,0
35.19,47.7,-13.13,27.06,35.69,2277.79,80.03,27.86,20.11,3642.56,2.5,46.7,1
82.6,110.92,0.78,40.16,93.46,1702.08,56.87,106.46,168.97,3452.21,2.5,40.33,0
88.97,39.52,12.87,4.89,34.88,2207.87,15.28,1.26,115.57,1623.9,2.5,47.63,0
37.93792575532945,55.45,-2.69,33.64,91.34,1607.18,17.62,45.94,115.23,1690.37,2.6429,36.41,0
6.52,76.96,4.4,23.77,83.58,1790.04,109.93,9.95,116.78,3808.3,2.5,40.58,1
60.96,0.0,-6.4,-3.75,10.81,2457.77,84.89,0.0,135.58,2299.81,2.5,38.26,0
74.48,94.08,-13.14,10.17,60.39,176.77,60.6,90.27,104.37,3811.15,2.5,56.27,0
84.19,36.58,-13.01,37.87,59.44,826.67,132.83,18.19,27.64,3084.06,2.5489,48.18,0
81.98,112.35,0.79,0.44,10.51,51.17,19.96,113.33,114.3,3385.53,2.5,47.63,0
43.76,22.32,11.59,-6.13,35.59,1060.0,129.7,118.75,37.33,2115.27,2.5,50.82,1
91.53,22.74,12.3,35.59,62.44,2031.48,5.98,122.32,431.85,1557.91,2.5,43.32,0
65.94,0.32,-13.04,7.36,56.93,308.59,84.38,80.62,318.16,2398.73,2.6313,46.12,0
45.15,68.74,5.61,34.47,64.91,1458.72,115.37,61.59,406.42,3241.67,2.6379,41.75,0
25.36,126.65,0.98,28.36,80.1,2248.93,162.61,101.83,318.65,3241.96,2.6892,41.29,1
79.14,121.73,0.94,-5.6,64.79,1783.69,41.52,97.04,185.81,3217.62,2.5071,47.85,0
92.59,75.42,6.09,10.1,51.51,1913.94,69.81,122.09,265.95,1811.85,2.5187,42.18,0
23.02,22.63,14.99,25.88,69.13,725.75,128.47,3.86,455.82,1723.74,2.6796,49.15,1
45.95784471544146,41.52,10.71,20.25,41.61,1964.52,60.67,118.22,386.11,1703.29,2.5,43.71,0
49.19767885936864,117.13,-0.82,4.93,89.77,1156.51,126.15,122.58,221.35,2528.02,2.5914,44.21,0
7.65,109.85,-11.53,20.46,44.88,213.54,24.89,128.78,399.92,3540.77,2.5,56.08,1
89.87,12.69,2.19,-2.59,27.72,414.71,46.25,7.18,133.07,3041.82,2.5,38.3,0
18.7,101.12,-11.97,-4.97,35.8,2026.59,115.18,25.26,154.48,2471.1,2.5,57.97,1
47.76,119.35,-0.51,9.34,40.48,1458.09,172.72,123.08,409.3,3268.4,2.5,41.73,0
55.81,74.97,0.13,10.41,17.0,1575.94,1.61,41.21,108.46,2027.01,2.5,35.65,0
