Age,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,EmploymentType,payment_to_income,credit_to_income,employment_age_ratio,high_dti_flag,interest_rate_tier,Education_High School,Education_Master's,Education_PhD,MaritalStatus_Married,MaritalStatus_Single,HasMortgage_Yes,HasDependents_Yes,LoanPurpose_Business,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,HasCoSigner_Yes,Income_log,LoanAmount_log
32.0,404.0,75.0,1.0,15.17,24.0,0.85,1,5.361358708744881,10.722717417489761,0.1953125,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0819668555893248,1.0180541290513934
54.0,364.0,119.0,4.0,5.66,24.0,0.63,3,1.2207295934446896,2.441459186889379,0.18364197530864199,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8260547947549788,1.0898282486494024
65.0,781.0,4.0,3.0,2.78,12.0,0.2,3,6.523971137666487,6.523971137666486,0.005128205128205128,0.0,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26064321499632054,1.0360928588091702
69.0,438.0,60.0,1.0,7.17,60.0,0.33,3,2.500339685646842,12.50169842823421,0.07246376811594203,0.0,1,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03456400194579087,1.0020495368662858
58.0,754.0,73.0,2.0,22.63,60.0,0.83,3,0.8466203239458165,4.233101619729082,0.10488505747126436,0.0,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.501135218596424,1.093012046074542
42.0,821.0,95.0,4.0,13.25,60.0,0.11,3,2.233798027881673,11.168990139408365,0.1884920634920635,0.0,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.03852742499844601,0.9403593745614555
32.0,467.0,32.0,4.0,19.29,60.0,0.76,3,0.9508075423661388,4.754037711830694,0.08333333333333333,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42103681864180853,1.0652584718235651
20.0,440.0,85.0,4.0,16.38,60.0,0.1,3,0.35853250090676875,1.7926625045338438,0.3541666666666667,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9934384980196893,1.0462625819839393
43.0,607.0,118.0,3.0,24.32,24.0,0.85,1,3.272006172839506,6.544012345679012,0.22868217054263565,0.0,3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.22971632964399022,0.9866696238707029
35.0,342.0,28.0,2.0,20.02,12.0,0.51,2,5.867633978207694,5.867633978207694,0.06666666666666667,0.0,3,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.04339932154429253,0.5972125470835457
27.0,370.0,6.0,1.0,9.94,36.0,0.88,0,2.322200412703206,6.966601238109618,0.018518518518518517,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.23811439331151707,1.0416968503390767
26.0,440.0,117.0,4.0,5.56,12.0,0.16,3,3.9765769673512286,3.9765769673512286,0.375,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.511012666215175,1.0634252610957393
30.0,475.0,108.0,4.0,15.93,48.0,0.23,1,2.1901669102739403,8.760667641095761,0.3,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08815522410037563,0.9039010270912988
68.0,549.0,12.0,2.0,3.3,48.0,0.32,2,1.720889367883417,6.883557471533668,0.014705882352941176,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08994732288110929,0.7669059669140018
65.0,378.0,58.0,1.0,7.34,12.0,0.41,0,6.30930318754633,6.30930318754633,0.07435897435897436,0.0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09323803908451163,0.7255989235832405
68.0,309.0,60.0,3.0,23.21,24.0,0.37,2,3.2719644762261755,6.543928952452352,0.07352941176470588,0.0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2562651688524951,1.030889245016354
24.0,842.0,5.0,3.0,19.37,24.0,0.57,0,4.132842398237272,8.265684796474545,0.017361111111111112,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03279902145878305,0.750344851008355
