Variant,Split,PR-AUC,F1
A_temporal,chronological,0.7533676075311895,0.7058823529411765
A_temporal,group,0.7658503406039437,0.6575342465753424
A_temporal,random,0.6316577693277217,0.5185185185185185
A_temporal,shift,0.6952651789729256,0.5882352941176471
B_behavioral,chronological,0.03783075052672932,0.0
B_behavioral,group,0.0516677595218802,0.0
B_behavioral,random,0.04190245951117028,0.0
B_behavioral,shift,0.039132791343504045,0.0
C_graph_peer,chronological,0.046413650751120715,0.0
C_graph_peer,group,0.06370443396150677,0.0
C_graph_peer,random,0.03855235715234978,0.0
C_graph_peer,shift,0.03941361988020818,0.0
D_all,chronological,0.7179262936601183,0.6666666666666666
D_all,group,0.7892735870464053,0.6666666666666666
D_all,random,0.6161221215679692,0.6440677966101694
D_all,shift,0.6191117431363331,0.5769230769230769
