n,scheme,trial,latency_us
128,hybrid,0,141
128,hash_only,0,2
128,lattice_only,0,312
128,hybrid,1,71
128,hash_only,1,1
128,lattice_only,1,309
128,hybrid,2,69
128,hash_only,2,1
128,lattice_only,2,303
128,hybrid,3,70
128,hash_only,3,1
128,lattice_only,3,348
128,hybrid,4,162
128,hash_only,4,1
128,lattice_only,4,294
128,hybrid,5,67
128,hash_only,5,1
128,lattice_only,5,300
128,hybrid,6,68
128,hash_only,6,1
128,lattice_only,6,294
128,hybrid,7,68
128,hash_only,7,1
128,lattice_only,7,294
128,hybrid,8,68
128,hash_only,8,1
128,lattice_only,8,366
128,hybrid,9,69
128,hash_only,9,1
128,lattice_only,9,288
128,hybrid,10,68
128,hash_only,10,1
128,lattice_only,10,282
128,hybrid,11,67
128,hash_only,11,1
128,lattice_only,11,294
128,hybrid,12,67
128,hash_only,12,1
128,lattice_only,12,285
128,hybrid,13,66
128,hash_only,13,1
128,lattice_only,13,354
128,hybrid,14,67
128,hash_only,14,1
128,lattice_only,14,288
128,hybrid,15,67
128,hash_only,15,1
128,lattice_only,15,288
128,hybrid,16,67
128,hash_only,16,1
128,lattice_only,16,288
128,hybrid,17,67
128,hash_only,17,1
128,lattice_only,17,288
128,hybrid,18,70
128,hash_only,18,1
128,lattice_only,18,366
128,hybrid,19,68
128,hash_only,19,1
128,lattice_only,19,288
128,hybrid,20,67
128,hash_only,20,1
128,lattice_only,20,291
128,hybrid,21,67
128,hash_only,21,1
128,lattice_only,21,294
128,hybrid,22,68
128,hash_only,22,1
128,lattice_only,22,291
128,hybrid,23,84
128,hash_only,23,2
128,lattice_only,23,294
128,hybrid,24,68
128,hash_only,24,1
128,lattice_only,24,288
128,hybrid,25,66
128,hash_only,25,1
128,lattice_only,25,288
128,hybrid,26,68
128,hash_only,26,1
128,lattice_only,26,294
128,hybrid,27,68
128,hash_only,27,1
128,lattice_only,27,300
128,hybrid,28,94
128,hash_only,28,1
128,lattice_only,28,300
128,hybrid,29,69
128,hash_only,29,1
128,lattice_only,29,297
128,hybrid,30,68
128,hash_only,30,1
128,lattice_only,30,300
128,hybrid,31,71
128,hash_only,31,1
128,lattice_only,31,300
128,hybrid,32,69
128,hash_only,32,1
128,lattice_only,32,384
128,hybrid,33,69
128,hash_only,33,1
128,lattice_only,33,300
128,hybrid,34,79
128,hash_only,34,1
128,lattice_only,34,291
128,hybrid,35,67
128,hash_only,35,1
