Parameter,Value
objective,binary:logistic
base_score,
booster,
callbacks,
colsample_bylevel,
colsample_bynode,
colsample_bytree,
device,
early_stopping_rounds,
enable_categorical,True
eval_metric,logloss
feature_types,
feature_weights,
gamma,
grow_policy,
importance_type,
interaction_constraints,
learning_rate,
max_bin,
max_cat_threshold,
max_cat_to_onehot,
max_delta_step,
max_depth,
max_leaves,
min_child_weight,
missing,
monotone_constraints,
multi_strategy,
n_estimators,
n_jobs,
num_parallel_tree,
random_state,42
reg_alpha,
reg_lambda,
sampling_method,
scale_pos_weight,
subsample,
tree_method,
validate_parameters,
verbosity,
