Model,Split,PR-AUC,F1,Recall
XGBoost,chronological,0.6392897722841674,0.6571428571428571,0.8214285714285714
SVM,chronological,0.6279383716126801,0.6021505376344086,1.0
MLP,chronological,0.6957464478171457,0.6575342465753424,0.8571428571428571
LSTM_proxy,chronological,0.5979875646021883,0.647887323943662,0.8214285714285714
Meta,chronological,0.7140429086015376,0.6785714285714286,0.6785714285714286
XGBoost,group,0.7676188169663435,0.7045454545454546,0.6888888888888889
SVM,group,0.7399506003220231,0.6851851851851852,0.8222222222222222
MLP,group,0.6807051461764694,0.6741573033707865,0.6666666666666666
LSTM_proxy,group,0.7043883831568503,0.6097560975609756,0.5555555555555556
Meta,group,0.8004996827943828,0.5797101449275363,0.4444444444444444
