Field,Type,Description
id,String,Unique identifier (HiveField 0)
name,String,Product name (HiveField 1)
sku,String?,Stock Keeping Unit (HiveField 2)
size,double?,Numeric size (HiveField 3)
sizeUnit,String,Unit of measurement (HiveField 4)
description,String?,Detailed description (HiveField 5)
barcode,String?,Scannable barcode (HiveField 6)
category,String,Product category (HiveField 7)
subCategory,String?,Product sub-category (HiveField 8)
price,double,Selling price (HiveField 9)
minStockAlert,int,Threshold for low stock (HiveField 10)
expiryDate,DateTime?,Expiry timestamp (HiveField 11)
batches,List<BatchEntity>,Inventory batches (HiveField 12)
imageUrl,String?,Remote image URL (HiveField 13)
_totalSold,int,Computed total sold (HiveField 14)
logoPath,String?,Local image path (HiveField 15)
businessCode,String,Associated business (HiveField 16)
