date,city,daily_cardiac_admissions
2015-01-01,London,187
2015-01-02,London,174
2015-01-03,London,255
2015-01-04,London,416
2015-01-05,London,389
2015-01-06,London,256
2015-01-07,London,113
2015-01-08,London,248
2015-01-09,London,443
2015-01-10,London,142
2015-01-11,London,160
2015-01-12,London,512
2015-01-13,London,315
2015-01-14,London,179
2015-01-15,London,406
2015-01-16,London,0
2015-01-17,London,0
2015-01-18,London,253
2015-01-19,London,264
2015-01-20,London,285
2015-01-21,London,125
2015-01-22,London,22
2015-01-23,London,39
2015-01-24,London,42
2015-01-25,London,218
2015-01-26,London,303
2015-01-27,London,283
2015-01-28,London,341
2015-01-29,London,209
2015-01-30,London,322
2015-01-31,London,303
2015-02-01,London,56
2015-02-02,London,142
2015-02-03,London,562
2015-02-04,London,542
2015-02-05,London,370
2015-02-06,London,177
2015-02-07,London,301
2015-02-08,London,330
2015-02-09,London,230
2015-02-10,London,249
2015-02-11,London,305
2015-02-12,London,209
2015-02-13,London,181
2015-02-14,London,202
2015-02-15,London,389
2015-02-16,London,325
2015-02-17,London,563
2015-02-18,London,340
2015-02-19,London,548
2015-02-20,London,89
2015-02-21,London,395
2015-02-22,London,338
2015-02-23,London,0
2015-02-24,London,178
2015-02-25,London,157
2015-02-26,London,387
2015-02-27,London,144
2015-02-28,London,356
2015-03-01,London,526
2015-03-02,London,320
2015-03-03,London,406
2015-03-04,London,360
2015-03-05,London,622
2015-03-06,London,738
2015-03-07,London,383
2015-03-08,London,158
2015-03-09,London,407
2015-03-10,London,384
2015-03-11,London,0
2015-03-12,London,476
2015-03-13,London,380
2015-03-14,London,502
2015-03-15,London,556
2015-03-16,London,88
2015-03-17,London,272
2015-03-18,London,307
2015-03-19,London,803
2015-03-20,London,280
2015-03-21,London,86
2015-03-22,London,270
2015-03-23,London,361
2015-03-24,London,394
2015-03-25,London,251
2015-03-26,London,737
2015-03-27,London,376
2015-03-28,London,441
2015-03-29,London,345
2015-03-30,London,490
2015-03-31,London,511
