date,city,daily_cardiac_admissions
2015-01-01,Los Angeles,158
2015-01-02,Los Angeles,297
2015-01-03,Los Angeles,225
2015-01-04,Los Angeles,1
2015-01-05,Los Angeles,156
2015-01-06,Los Angeles,316
2015-01-07,Los Angeles,181
2015-01-08,Los Angeles,16
2015-01-09,Los Angeles,163
2015-01-10,Los Angeles,233
2015-01-11,Los Angeles,106
2015-01-12,Los Angeles,170
2015-01-13,Los Angeles,130
2015-01-14,Los Angeles,47
2015-01-15,Los Angeles,358
2015-01-16,Los Angeles,296
2015-01-17,Los Angeles,91
2015-01-18,Los Angeles,232
2015-01-19,Los Angeles,203
2015-01-20,Los Angeles,0
2015-01-21,Los Angeles,68
2015-01-22,Los Angeles,87
2015-01-23,Los Angeles,0
2015-01-24,Los Angeles,99
2015-01-25,Los Angeles,254
2015-01-26,Los Angeles,592
2015-01-27,Los Angeles,157
2015-01-28,Los Angeles,0
2015-01-29,Los Angeles,30
2015-01-30,Los Angeles,246
2015-01-31,Los Angeles,54
2015-02-01,Los Angeles,186
2015-02-02,Los Angeles,300
2015-02-03,Los Angeles,10
2015-02-04,Los Angeles,172
2015-02-05,Los Angeles,128
2015-02-06,Los Angeles,397
2015-02-07,Los Angeles,165
2015-02-08,Los Angeles,138
2015-02-09,Los Angeles,247
2015-02-10,Los Angeles,292
2015-02-11,Los Angeles,36
2015-02-12,Los Angeles,280
2015-02-13,Los Angeles,529
2015-02-14,Los Angeles,258
2015-02-15,Los Angeles,0
2015-02-16,Los Angeles,138
2015-02-17,Los Angeles,121
2015-02-18,Los Angeles,127
2015-02-19,Los Angeles,394
2015-02-20,Los Angeles,597
2015-02-21,Los Angeles,85
2015-02-22,Los Angeles,2
2015-02-23,Los Angeles,0
2015-02-24,Los Angeles,621
2015-02-25,Los Angeles,119
2015-02-26,Los Angeles,225
2015-02-27,Los Angeles,98
2015-02-28,Los Angeles,167
2015-03-01,Los Angeles,41
2015-03-02,Los Angeles,156
2015-03-03,Los Angeles,476
2015-03-04,Los Angeles,473
2015-03-05,Los Angeles,163
2015-03-06,Los Angeles,163
2015-03-07,Los Angeles,599
2015-03-08,Los Angeles,307
2015-03-09,Los Angeles,129
2015-03-10,Los Angeles,364
2015-03-11,Los Angeles,297
2015-03-12,Los Angeles,282
2015-03-13,Los Angeles,322
2015-03-14,Los Angeles,168
2015-03-15,Los Angeles,494
2015-03-16,Los Angeles,510
2015-03-17,Los Angeles,475
2015-03-18,Los Angeles,31
2015-03-19,Los Angeles,351
2015-03-20,Los Angeles,292
2015-03-21,Los Angeles,258
2015-03-22,Los Angeles,58
2015-03-23,Los Angeles,88
2015-03-24,Los Angeles,482
2015-03-25,Los Angeles,456
2015-03-26,Los Angeles,211
2015-03-27,Los Angeles,101
2015-03-28,Los Angeles,131
2015-03-29,Los Angeles,0
2015-03-30,Los Angeles,398
2015-03-31,Los Angeles,404
2015-04-01,Los Angeles,409
2015-04-02,Los Angeles,169
2015-04-03,Los Angeles,195
2015-04-04,Los Angeles,464
2015-04-05,Los Angeles,220
2015-04-06,Los Angeles,451
2015-04-07,Los Angeles,422
2015-04-08,Los Angeles,460
2015-04-09,Los Angeles,333
2015-04-10,Los Angeles,328
2015-04-11,Los Angeles,334
2015-04-12,Los Angeles,214
2015-04-13,Los Angeles,102
2015-04-14,Los Angeles,196
2015-04-15,Los Angeles,52
2015-04-16,Los Angeles,204
2015-04-17,Los Angeles,301
2015-04-18,Los Angeles,566
2015-04-19,Los Angeles,517
2015-04-20,Los Angeles,456
2015-04-21,Los Angeles,151
2015-04-22,Los Angeles,513
2015-04-23,Los Angeles,353
2015-04-24,Los Angeles,410
2015-04-25,Los Angeles,218
2015-04-26,Los Angeles,435
2015-04-27,Los Angeles,661
2015-04-28,Los Angeles,105
2015-04-29,Los Angeles,699
2015-04-30,Los Angeles,496
2015-05-01,Los Angeles,437
2015-05-02,Los Angeles,84
2015-05-03,Los Angeles,511
2015-05-04,Los Angeles,144
2015-05-05,Los Angeles,234
2015-05-06,Los Angeles,141
2015-05-07,Los Angeles,202
2015-05-08,Los Angeles,600
2015-05-09,Los Angeles,670
2015-05-10,Los Angeles,234
2015-05-11,Los Angeles,0
2015-05-12,Los Angeles,171
2015-05-13,Los Angeles,233
2015-05-14,Los Angeles,5
2015-05-15,Los Angeles,289
2015-05-16,Los Angeles,430
2015-05-17,Los Angeles,645
2015-05-18,Los Angeles,527
2015-05-19,Los Angeles,112
2015-05-20,Los Angeles,140
2015-05-21,Los Angeles,269
2015-05-22,Los Angeles,600
2015-05-23,Los Angeles,129
2015-05-24,Los Angeles,316
2015-05-25,Los Angeles,315
2015-05-26,Los Angeles,263
2015-05-27,Los Angeles,172
2015-05-28,Los Angeles,142
2015-05-29,Los Angeles,245
2015-05-30,Los Angeles,558
2015-05-31,Los Angeles,66
2015-06-01,Los Angeles,351
2015-06-02,Los Angeles,24
2015-06-03,Los Angeles,554
2015-06-04,Los Angeles,276
2015-06-05,Los Angeles,178
2015-06-06,Los Angeles,202
2015-06-07,Los Angeles,322
2015-06-08,Los Angeles,189
2015-06-09,Los Angeles,233
2015-06-10,Los Angeles,259
2015-06-11,Los Angeles,386
2015-06-12,Los Angeles,232
2015-06-13,Los Angeles,305
2015-06-14,Los Angeles,139
2015-06-15,Los Angeles,408
2015-06-16,Los Angeles,283
2015-06-17,Los Angeles,490
2015-06-18,Los Angeles,188
2015-06-19,Los Angeles,147
2015-06-20,Los Angeles,273
2015-06-21,Los Angeles,38
2015-06-22,Los Angeles,0
2015-06-23,Los Angeles,210
2015-06-24,Los Angeles,0
2015-06-25,Los Angeles,421
2015-06-26,Los Angeles,349
2015-06-27,Los Angeles,505
2015-06-28,Los Angeles,394
2015-06-29,Los Angeles,0
2015-06-30,Los Angeles,314
2015-07-01,Los Angeles,313
2015-07-02,Los Angeles,70
2015-07-03,Los Angeles,195
2015-07-04,Los Angeles,0
2015-07-05,Los Angeles,271
2015-07-06,Los Angeles,342
2015-07-07,Los Angeles,83
2015-07-08,Los Angeles,69
2015-07-09,Los Angeles,341
2015-07-10,Los Angeles,0
2015-07-11,Los Angeles,0
2015-07-12,Los Angeles,70
2015-07-13,Los Angeles,291
2015-07-14,Los Angeles,194
2015-07-15,Los Angeles,176
2015-07-16,Los Angeles,235
2015-07-17,Los Angeles,0
2015-07-18,Los Angeles,24
2015-07-19,Los Angeles,0
2015-07-20,Los Angeles,303
2015-07-21,Los Angeles,39
2015-07-22,Los Angeles,186
2015-07-23,Los Angeles,218
2015-07-24,Los Angeles,134
2015-07-25,Los Angeles,240
2015-07-26,Los Angeles,98
2015-07-27,Los Angeles,255
2015-07-28,Los Angeles,115
2015-07-29,Los Angeles,136
2015-07-30,Los Angeles,406
2015-07-31,Los Angeles,0
2015-08-01,Los Angeles,362
2015-08-02,Los Angeles,246
2015-08-03,Los Angeles,154
2015-08-04,Los Angeles,251
2015-08-05,Los Angeles,118
2015-08-06,Los Angeles,205
2015-08-07,Los Angeles,328
2015-08-08,Los Angeles,90
2015-08-09,Los Angeles,137
2015-08-10,Los Angeles,240
2015-08-11,Los Angeles,291
2015-08-12,Los Angeles,160
2015-08-13,Los Angeles,161
2015-08-14,Los Angeles,0
2015-08-15,Los Angeles,104
2015-08-16,Los Angeles,59
2015-08-17,Los Angeles,127
2015-08-18,Los Angeles,74
2015-08-19,Los Angeles,72
2015-08-20,Los Angeles,76
2015-08-21,Los Angeles,0
2015-08-22,Los Angeles,63
2015-08-23,Los Angeles,50
2015-08-24,Los Angeles,65
2015-08-25,Los Angeles,128
2015-08-26,Los Angeles,115
2015-08-27,Los Angeles,219
2015-08-28,Los Angeles,235
2015-08-29,Los Angeles,62
2015-08-30,Los Angeles,35
2015-08-31,Los Angeles,0
2015-09-01,Los Angeles,27
2015-09-02,Los Angeles,206
2015-09-03,Los Angeles,6
2015-09-04,Los Angeles,190
2015-09-05,Los Angeles,209
2015-09-06,Los Angeles,298
2015-09-07,Los Angeles,314
2015-09-08,Los Angeles,312
2015-09-09,Los Angeles,62
2015-09-10,Los Angeles,156
2015-09-11,Los Angeles,151
2015-09-12,Los Angeles,264
2015-09-13,Los Angeles,0
2015-09-14,Los Angeles,37
2015-09-15,Los Angeles,9
2015-09-16,Los Angeles,0
2015-09-17,Los Angeles,162
2015-09-18,Los Angeles,18
2015-09-19,Los Angeles,186
2015-09-20,Los Angeles,18
2015-09-21,Los Angeles,342
2015-09-22,Los Angeles,44
2015-09-23,Los Angeles,171
2015-09-24,Los Angeles,167
2015-09-25,Los Angeles,125
2015-09-26,Los Angeles,111
2015-09-27,Los Angeles,149
2015-09-28,Los Angeles,0
2015-09-29,Los Angeles,0
2015-09-30,Los Angeles,44
2015-10-01,Los Angeles,34
2015-10-02,Los Angeles,48
2015-10-03,Los Angeles,119
2015-10-04,Los Angeles,98
2015-10-05,Los Angeles,157
2015-10-06,Los Angeles,1
2015-10-07,Los Angeles,0
2015-10-08,Los Angeles,0
2015-10-09,Los Angeles,0
2015-10-10,Los Angeles,0
2015-10-11,Los Angeles,0
2015-10-12,Los Angeles,151
2015-10-13,Los Angeles,73
2015-10-14,Los Angeles,281
2015-10-15,Los Angeles,105
2015-10-16,Los Angeles,164
2015-10-17,Los Angeles,133
2015-10-18,Los Angeles,222
2015-10-19,Los Angeles,173
2015-10-20,Los Angeles,208
2015-10-21,Los Angeles,4
2015-10-22,Los Angeles,89
2015-10-23,Los Angeles,51
2015-10-24,Los Angeles,171
2015-10-25,Los Angeles,290
2015-10-26,Los Angeles,9
2015-10-27,Los Angeles,229
2015-10-28,Los Angeles,139
2015-10-29,Los Angeles,215
2015-10-30,Los Angeles,306
2015-10-31,Los Angeles,0
2015-11-01,Los Angeles,29
2015-11-02,Los Angeles,15
2015-11-03,Los Angeles,21
2015-11-04,Los Angeles,0
2015-11-05,Los Angeles,208
2015-11-06,Los Angeles,115
2015-11-07,Los Angeles,26
2015-11-08,Los Angeles,208
2015-11-09,Los Angeles,53
2015-11-10,Los Angeles,18
2015-11-11,Los Angeles,0
2015-11-12,Los Angeles,0
2015-11-13,Los Angeles,182
2015-11-14,Los Angeles,284
2015-11-15,Los Angeles,116
2015-11-16,Los Angeles,0
2015-11-17,Los Angeles,128
2015-11-18,Los Angeles,177
2015-11-19,Los Angeles,222
2015-11-20,Los Angeles,30
2015-11-21,Los Angeles,136
2015-11-22,Los Angeles,40
2015-11-23,Los Angeles,123
2015-11-24,Los Angeles,0
2015-11-25,Los Angeles,103
2015-11-26,Los Angeles,141
2015-11-27,Los Angeles,167
2015-11-28,Los Angeles,300
2015-11-29,Los Angeles,233
2015-11-30,Los Angeles,0
2015-12-01,Los Angeles,14
2015-12-02,Los Angeles,15
2015-12-03,Los Angeles,0
2015-12-04,Los Angeles,108
2015-12-05,Los Angeles,0
2015-12-06,Los Angeles,0
2015-12-07,Los Angeles,57
2015-12-08,Los Angeles,69
2015-12-09,Los Angeles,154
2015-12-10,Los Angeles,0
2015-12-11,Los Angeles,51
2015-12-12,Los Angeles,120
2015-12-13,Los Angeles,174
2015-12-14,Los Angeles,0
2015-12-15,Los Angeles,2
2015-12-16,Los Angeles,24
2015-12-17,Los Angeles,325
2015-12-18,Los Angeles,53
2015-12-19,Los Angeles,52
2015-12-20,Los Angeles,0
2015-12-21,Los Angeles,218
2015-12-22,Los Angeles,374
2015-12-23,Los Angeles,59
2015-12-24,Los Angeles,261
2015-12-25,Los Angeles,77
2015-12-26,Los Angeles,212
2015-12-27,Los Angeles,54
2015-12-28,Los Angeles,165
2015-12-29,Los Angeles,228
2015-12-30,Los Angeles,195
2015-12-31,Los Angeles,44
2016-01-01,Los Angeles,266
2016-01-02,Los Angeles,72
2016-01-03,Los Angeles,413
