date,city,daily_cardiac_admissions
2015-01-01,Mumbai,101
2015-01-02,Mumbai,167
2015-01-03,Mumbai,40
2015-01-04,Mumbai,90
2015-01-05,Mumbai,133
2015-01-06,Mumbai,167
2015-01-07,Mumbai,196
2015-01-08,Mumbai,48
2015-01-09,Mumbai,0
2015-01-10,Mumbai,233
2015-01-11,Mumbai,10
2015-01-12,Mumbai,53
2015-01-13,Mumbai,7
2015-01-14,Mumbai,164
2015-01-15,Mumbai,135
2015-01-16,Mumbai,164
2015-01-17,Mumbai,84
2015-01-18,Mumbai,275
2015-01-19,Mumbai,135
2015-01-20,Mumbai,135
2015-01-21,Mumbai,4
2015-01-22,Mumbai,151
2015-01-23,Mumbai,163
2015-01-24,Mumbai,26
2015-01-25,Mumbai,61
2015-01-26,Mumbai,0
2015-01-27,Mumbai,206
2015-01-28,Mumbai,178
2015-01-29,Mumbai,112
2015-01-30,Mumbai,93
2015-01-31,Mumbai,52
2015-02-01,Mumbai,193
2015-02-02,Mumbai,92
2015-02-03,Mumbai,234
2015-02-04,Mumbai,113
2015-02-05,Mumbai,11
2015-02-06,Mumbai,232
2015-02-07,Mumbai,341
2015-02-08,Mumbai,124
2015-02-09,Mumbai,81
2015-02-10,Mumbai,0
2015-02-11,Mumbai,49
2015-02-12,Mumbai,5
2015-02-13,Mumbai,126
2015-02-14,Mumbai,41
2015-02-15,Mumbai,20
2015-02-16,Mumbai,0
2015-02-17,Mumbai,202
2015-02-18,Mumbai,168
2015-02-19,Mumbai,0
2015-02-20,Mumbai,293
2015-02-21,Mumbai,237
2015-02-22,Mumbai,360
2015-02-23,Mumbai,55
2015-02-24,Mumbai,134
2015-02-25,Mumbai,98
2015-02-26,Mumbai,214
2015-02-27,Mumbai,0
2015-02-28,Mumbai,79
2015-03-01,Mumbai,251
2015-03-02,Mumbai,158
2015-03-03,Mumbai,89
2015-03-04,Mumbai,182
2015-03-05,Mumbai,157
2015-03-06,Mumbai,349
2015-03-07,Mumbai,166
2015-03-08,Mumbai,119
2015-03-09,Mumbai,5
2015-03-10,Mumbai,214
2015-03-11,Mumbai,158
2015-03-12,Mumbai,165
2015-03-13,Mumbai,0
2015-03-14,Mumbai,228
2015-03-15,Mumbai,148
2015-03-16,Mumbai,203
2015-03-17,Mumbai,11
2015-03-18,Mumbai,50
2015-03-19,Mumbai,0
2015-03-20,Mumbai,139
2015-03-21,Mumbai,36
2015-03-22,Mumbai,221
2015-03-23,Mumbai,157
2015-03-24,Mumbai,345
2015-03-25,Mumbai,113
2015-03-26,Mumbai,230
2015-03-27,Mumbai,31
2015-03-28,Mumbai,285
2015-03-29,Mumbai,228
2015-03-30,Mumbai,84
2015-03-31,Mumbai,27
2015-04-01,Mumbai,236
2015-04-02,Mumbai,83
2015-04-03,Mumbai,0
2015-04-04,Mumbai,126
2015-04-05,Mumbai,264
2015-04-06,Mumbai,29
2015-04-07,Mumbai,143
2015-04-08,Mumbai,73
2015-04-09,Mumbai,274
2015-04-10,Mumbai,222
2015-04-11,Mumbai,32
2015-04-12,Mumbai,229
2015-04-13,Mumbai,296
2015-04-14,Mumbai,247
2015-04-15,Mumbai,192
2015-04-16,Mumbai,171
2015-04-17,Mumbai,132
2015-04-18,Mumbai,279
2015-04-19,Mumbai,326
2015-04-20,Mumbai,211
2015-04-21,Mumbai,188
2015-04-22,Mumbai,111
2015-04-23,Mumbai,125
2015-04-24,Mumbai,236
2015-04-25,Mumbai,154
2015-04-26,Mumbai,176
2015-04-27,Mumbai,266
2015-04-28,Mumbai,106
2015-04-29,Mumbai,170
2015-04-30,Mumbai,212
2015-05-01,Mumbai,234
2015-05-02,Mumbai,282
2015-05-03,Mumbai,173
2015-05-04,Mumbai,131
2015-05-05,Mumbai,142
2015-05-06,Mumbai,0
2015-05-07,Mumbai,202
2015-05-08,Mumbai,434
2015-05-09,Mumbai,193
2015-05-10,Mumbai,189
2015-05-11,Mumbai,136
2015-05-12,Mumbai,325
2015-05-13,Mumbai,80
2015-05-14,Mumbai,243
2015-05-15,Mumbai,0
2015-05-16,Mumbai,197
2015-05-17,Mumbai,212
2015-05-18,Mumbai,82
2015-05-19,Mumbai,93
2015-05-20,Mumbai,0
2015-05-21,Mumbai,108
2015-05-22,Mumbai,75
2015-05-23,Mumbai,76
2015-05-24,Mumbai,128
2015-05-25,Mumbai,70
2015-05-26,Mumbai,158
2015-05-27,Mumbai,44
2015-05-28,Mumbai,265
2015-05-29,Mumbai,128
2015-05-30,Mumbai,191
2015-05-31,Mumbai,224
2015-06-01,Mumbai,237
2015-06-02,Mumbai,233
2015-06-03,Mumbai,224
2015-06-04,Mumbai,64
2015-06-05,Mumbai,57
2015-06-06,Mumbai,0
2015-06-07,Mumbai,118
2015-06-08,Mumbai,160
2015-06-09,Mumbai,80
2015-06-10,Mumbai,88
2015-06-11,Mumbai,51
2015-06-12,Mumbai,0
2015-06-13,Mumbai,141
2015-06-14,Mumbai,0
2015-06-15,Mumbai,206
2015-06-16,Mumbai,109
2015-06-17,Mumbai,215
2015-06-18,Mumbai,113
2015-06-19,Mumbai,12
2015-06-20,Mumbai,130
2015-06-21,Mumbai,271
2015-06-22,Mumbai,79
2015-06-23,Mumbai,68
2015-06-24,Mumbai,275
2015-06-25,Mumbai,69
2015-06-26,Mumbai,217
2015-06-27,Mumbai,3
2015-06-28,Mumbai,126
2015-06-29,Mumbai,5
2015-06-30,Mumbai,122
2015-07-01,Mumbai,283
2015-07-02,Mumbai,119
2015-07-03,Mumbai,254
