date,city,daily_cardiac_admissions
2015-01-01,New York,136
2015-01-02,New York,267
2015-01-03,New York,18
2015-01-04,New York,0
2015-01-05,New York,285
2015-01-06,New York,159
2015-01-07,New York,44
2015-01-08,New York,37
2015-01-09,New York,306
2015-01-10,New York,140
2015-01-11,New York,207
2015-01-12,New York,202
2015-01-13,New York,316
2015-01-14,New York,182
2015-01-15,New York,0
2015-01-16,New York,0
2015-01-17,New York,226
2015-01-18,New York,191
2015-01-19,New York,277
2015-01-20,New York,340
2015-01-21,New York,61
2015-01-22,New York,153
2015-01-23,New York,233
2015-01-24,New York,55
2015-01-25,New York,377
2015-01-26,New York,0
2015-01-27,New York,228
2015-01-28,New York,340
2015-01-29,New York,248
2015-01-30,New York,195
2015-01-31,New York,143
2015-02-01,New York,334
2015-02-02,New York,357
2015-02-03,New York,54
2015-02-04,New York,264
2015-02-05,New York,88
2015-02-06,New York,280
2015-02-07,New York,0
2015-02-08,New York,41
2015-02-09,New York,88
2015-02-10,New York,94
2015-02-11,New York,312
2015-02-12,New York,128
2015-02-13,New York,340
2015-02-14,New York,390
2015-02-15,New York,78
2015-02-16,New York,183
2015-02-17,New York,309
2015-02-18,New York,36
2015-02-19,New York,247
2015-02-20,New York,276
2015-02-21,New York,373
2015-02-22,New York,157
2015-02-23,New York,205
2015-02-24,New York,209
2015-02-25,New York,196
2015-02-26,New York,148
2015-02-27,New York,74
2015-02-28,New York,350
2015-03-01,New York,664
2015-03-02,New York,316
2015-03-03,New York,198
2015-03-04,New York,629
2015-03-05,New York,366
2015-03-06,New York,202
2015-03-07,New York,216
2015-03-08,New York,377
2015-03-09,New York,250
2015-03-10,New York,329
2015-03-11,New York,251
2015-03-12,New York,274
2015-03-13,New York,302
2015-03-14,New York,346
2015-03-15,New York,84
2015-03-16,New York,180
2015-03-17,New York,195
2015-03-18,New York,497
2015-03-19,New York,326
2015-03-20,New York,485
2015-03-21,New York,270
2015-03-22,New York,245
2015-03-23,New York,270
2015-03-24,New York,239
2015-03-25,New York,696
2015-03-26,New York,338
2015-03-27,New York,324
2015-03-28,New York,461
2015-03-29,New York,331
2015-03-30,New York,165
2015-03-31,New York,229
2015-04-01,New York,412
