model,fold,f1,roc_auc,latency_ms,recall_0,recall_1,recall_2,recall_3
DecisionTree,0,0.9979345804100459,0.998864167217322,0.00016374554595065228,0.9986770100426965,0.997948717948718,0.9985569985569985,0.9986859395532195
RandomForest,0,0.99898713433975,0.9999991963573116,0.005945705944615085,0.9991580972998978,0.9994871794871795,1.0,1.0
DecisionTree,1,0.9984889728731211,0.9991283337630592,0.0001699769359649385,0.9987972095261005,0.9982055883106896,0.9985569985569985,1.0
RandomForest,1,0.9989344840781389,0.999998994397721,0.0060141132033892375,0.9992181861919653,1.0,0.9992784992784993,1.0
DecisionTree,2,0.9986221989908395,0.9992599958253965,0.00016262612454233657,0.9994587442867453,0.9989746218918226,0.9985569985569985,0.9986859395532195
RandomForest,2,0.9993139842110842,0.9999986903368827,0.005580189716011096,0.9995188838104402,0.9987182773647783,1.0,0.9986859395532195
DecisionTree,3,0.9979888994827066,0.998833576449036,0.0001521957662460202,0.9989776280971855,0.9987179487179487,0.9992784992784993,0.9960578186596584
RandomForest,3,0.9991529303010008,0.9999994940822621,0.005981108357203253,0.9998195814289151,0.9997435897435898,1.0,0.9947437582128777
DecisionTree,4,0.9985120004134959,0.9986811327619061,0.00014754910695515704,0.9996993023815252,0.9976923076923077,0.9949494949494949,1.0
RandomForest,4,0.9996648212343875,0.9999995667979531,0.005792790915096133,0.99987972095261,0.9987179487179487,1.0,1.0
XGBoost,0,0.9994615993067798,0.9999999950276246,0.006989154392310536,0.9997594563713994,1.0,1.0,1.0
LightGBM,0,0.9994856437217625,1.0,0.01284004198271423,0.9998195922785496,1.0,1.0,1.0
XGBoost,1,0.9995777729236116,0.9999998548888377,0.00467532532193428,0.9997594419052201,1.0,1.0,1.0
LightGBM,1,0.99965688022533,0.9999995873362709,0.013634845519493208,0.99987972095261,1.0,1.0,1.0
XGBoost,2,0.999749011743628,0.999998438014895,0.0047746832333686925,0.99987972095261,1.0,1.0,0.9986859395532195
LightGBM,2,0.999828117236598,0.9999960411041218,0.013515040262843232,1.0,1.0,1.0,0.9986859395532195
XGBoost,3,0.999075403814912,0.9999565721505865,0.004662090937173065,0.999939860476305,0.9997435897435898,1.0,0.9947437582128777
LightGBM,3,0.9989026696453862,0.9999996265378379,0.012723613715557299,0.99987972095261,1.0,1.0,0.9934296977660972
XGBoost,4,1.0,1.0,0.004538661389189191,1.0,1.0,1.0,1.0
LightGBM,4,1.0,1.0,0.01280092696802203,1.0,1.0,1.0,1.0
