Route,Mean Price,Std Price,Elasticity,Volume,Classification
Birmingham New Street -> Coventry,4.138461538461539,1.2103321222515109,0.29245943474478886,65,Low Elasticity
Birmingham New Street -> Liverpool Lime Street,10.228571428571428,13.787562515954834,1.347946056029104,175,High Elasticity
Birmingham New Street -> London Euston,28.752,15.52087875796196,0.53981909981782,125,High Elasticity
Birmingham New Street -> London Paddington,22.4375,16.453134812590893,0.7332873454079506,32,High Elasticity
Birmingham New Street -> London St Pancras,27.081196581196583,15.79307942635926,0.5831750963812634,702,High Elasticity
Birmingham New Street -> Manchester Piccadilly,11.191964285714286,5.1492284831625925,0.4600826406974155,224,High Elasticity
Birmingham New Street -> Nuneaton,9.972602739726028,4.271645159535526,0.4283380448435348,219,Medium Elasticity
Birmingham New Street -> Reading,47.06382978723404,9.025096061921971,0.1917628910082878,47,Low Elasticity
Birmingham New Street -> Stafford,7.184210526315789,2.328285505387517,0.3240836967206068,190,Low Elasticity
Birmingham New Street -> Tamworth,7.60352422907489,3.081716838921984,0.4053011138095541,227,Medium Elasticity
Birmingham New Street -> Wolverhampton,1.875,1.4312187452567107,0.7633166641369123,32,High Elasticity
Birmingham New Street -> York,20.723076923076924,10.863510730174449,0.5242228637426423,65,High Elasticity
Edinburgh Waverley -> London Kings Cross,41.03921568627451,16.770164917869746,0.4086375589160808,51,Medium Elasticity
Liverpool Lime Street -> Crewe,8.098445595854923,2.2420339696899165,0.27684744475377726,193,Low Elasticity
Liverpool Lime Street -> Leeds,12.135416666666666,5.302670214477681,0.436958232265972,96,Medium Elasticity
Liverpool Lime Street -> London Euston,103.28076572470374,39.262376868566356,0.38015187622853946,1097,Medium Elasticity
Liverpool Lime Street -> London St Pancras,104.7741935483871,30.331182719460347,0.2894909680736671,31,Low Elasticity
Liverpool Lime Street -> Manchester Piccadilly,3.9806795469686875,2.5415493922940464,0.6384712364574667,3002,High Elasticity
Liverpool Lime Street -> Sheffield,9.049504950495049,3.017867583654931,0.3334842734673392,101,Low Elasticity
London Euston -> Birmingham New Street,11.962223806129723,15.244716356907423,1.2744048768838176,4209,High Elasticity
London Euston -> Manchester Piccadilly,85.67977528089888,33.58807698097572,0.39201873336920057,712,Medium Elasticity
London Kings Cross -> Edinburgh Waverley,37.32515337423313,14.727518307611184,0.39457355097643376,163,Medium Elasticity
London Kings Cross -> Liverpool Lime Street,72.03472222222223,26.749920121296178,0.3713475848324158,144,Medium Elasticity
London Kings Cross -> York,46.709077001529835,17.0347549444071,0.36469902721154546,3922,Medium Elasticity
London Paddington -> Liverpool Lime Street,55.77272727272727,13.787192635235767,0.24720312793413762,44,Low Elasticity
London Paddington -> London Waterloo,5.044117647058823,2.0619786435002423,0.408788768973809,68,Medium Elasticity
London Paddington -> Oxford,26.513402061855672,9.652769363103443,0.3640713228948728,485,Low Elasticity
London Paddington -> Reading,16.877872450296927,7.722980654067899,0.4575802238588449,3873,High Elasticity
London St Pancras -> Birmingham New Street,15.231633535004322,17.79953830503986,1.168590241101465,3471,High Elasticity
London St Pancras -> Leicester,21.821958456973295,6.901370961847431,0.3162580927580343,337,Low Elasticity
London St Pancras -> Wolverhampton,32.93975903614458,12.121689286594528,0.36799568792514475,83,Medium Elasticity
Manchester Piccadilly -> Leeds,10.359154929577464,4.7225752520513185,0.45588421875682344,142,Medium Elasticity
Manchester Piccadilly -> Liverpool Lime Street,3.740276577355229,2.6340775385998367,0.7042467272466808,4628,High Elasticity
Manchester Piccadilly -> London Euston,98.14492753623189,38.86286091124719,0.3959742177903213,345,Medium Elasticity
Manchester Piccadilly -> London Paddington,114.11111111111111,31.633856146553732,0.27721977148878635,144,Low Elasticity
Manchester Piccadilly -> Nottingham,13.974683544303797,2.759925613067097,0.19749467702201148,158,Low Elasticity
Manchester Piccadilly -> Sheffield,4.2748538011695905,1.6343407941556587,0.38231501477512675,171,Medium Elasticity
Oxford -> Bristol Temple Meads,19.854166666666668,12.635818082000018,0.6364315508247648,144,High Elasticity
Reading -> Birmingham New Street,49.28125,17.76592311684221,0.36050065931449,32,Low Elasticity
Reading -> Didcot,4.416666666666667,2.413026115785114,0.5463455356494596,48,High Elasticity
Reading -> London Paddington,16.324324324324323,3.8513469968332577,0.23592688556760025,148,Low Elasticity
Reading -> Oxford,7.114754098360656,2.385204814087955,0.3352476812427771,122,Low Elasticity
Reading -> Swindon,15.56140350877193,10.170818659601963,0.6535926308876121,228,High Elasticity
York -> Doncaster,6.213270142180095,2.8329715541592884,0.45595499460534694,211,High Elasticity
York -> Durham,7.686046511627907,2.3568509025427504,0.3066402081976952,258,Low Elasticity
York -> Edinburgh,26.92753623188406,9.40153557977641,0.3491420640498236,138,Low Elasticity
York -> Peterborough,44.47933884297521,17.24829616869108,0.38778220669112234,242,Medium Elasticity
